origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
AGP,MAD,454.5361428571428,13.585555555555555,0.13585555555555553,directo,429.9765529730858,58.41470348002132,82.24824147298143,-2.813258899060055,-4.3961485688050095,1.5828896697449544,0.28863618377924327
AMS,MAD,618.0934285714286,7.04111111111111,0.0704111111111111,directo,1460.655482824093,102.84637549618085,159.549161211807,-5.247910734159757,-6.852761725919306,1.604850991759549,0.29316624532825253
BCN,MAD,3596.4700000000003,15.393333333333333,0.15393333333333334,directo,482.93085577562044,74.33915639906051,86.21981418317154,-3.211179411644641,-4.558749344134599,1.3475699324899577,0.24280967842247836
BIO,MAD,849.1658571428571,24.84222222222222,0.24842222222222218,directo,319.17495448909585,79.29015147185783,73.93812158668219,-3.0645654611708,-4.579274060747592,1.5147085995767915,0.27484102836216756
BRU,MAD,624.8788571428571,9.231111111111112,0.09231111111111112,directo,1315.6121208044801,121.44561666270691,148.67090906033602,-5.402330514460859,-6.806908431888463,1.4045779174276039,0.25344381215605083
EZE,MAD,550.6405714285714,5.010000000000001,0.050100000000000006,directo,10085.30153873687,505.2736070907173,806.3976154052652,-26.23342444991965,-28.166775461653746,1.9333510117340964,0.3655035644395177
FCO,MAD,1131.3857142857144,7.338888888888889,0.07338888888888889,directo,1329.6286311014007,97.57996787138613,149.72214733260506,-4.946042304079824,-6.289441667334806,1.3433993632549823,0.24204372887007358
FRA,MAD,590.4832857142857,7.010000000000001,0.07010000000000001,directo,1422.0505721451593,99.68574510737568,156.65379291088695,-5.126790760365252,-6.7578328892865045,1.6310421289212522,0.29862281494942416
GRU,MAD,209.78914285714288,5.285555555555556,0.05285555555555556,directo,8377.59190069899,442.80227412916776,678.3193925524242,-22.42243333363184,-25.466744115937693,3.0443107823058533,0.6363146568370105
IBZ,MAD,755.9572857142857,13.064285714285715,0.13064285714285714,directo,458.2394725643367,59.865713951440846,84.36796044232526,-2.884673487875322,-4.250035781776123,1.3653622939008012,0.24609581063611205
JFK,MAD,711.3587142857143,5.569999999999999,0.05569999999999999,directo,5762.054156815669,320.9464165346327,482.15406176117517,-16.062009565916156,-18.147891704201044,2.0858821382848873,0.40154673402749913
LHR,MAD,1136.9781428571428,10.995555555555555,0.10995555555555554,directo,1246.7103196307842,137.0827258118471,143.50327397230882,-5.611719995683119,-7.332093543499292,1.7203735478161732,0.31766289082194477
LIM,MAD,431.7194285714286,4.682222222222222,0.04682222222222222,directo,9526.189253001634,446.0373501349876,764.4641939751225,-24.210030882202204,-24.836953562117998,0.6269226799157934,0.1349382097756473
LIS,MAD,1124.7762857142857,13.212222222222222,0.13212222222222222,directo,512.8845584370001,67.76344760415965,88.46634188277501,-3.1245957897386933,-4.138607528703924,1.0140117389652303,0.18680663003828687
LPA,MAD,1333.8785714285716,6.136666666666667,0.06136666666666667,directo,1764.684311974792,108.29279394485307,182.3513233981094,-5.812882346859249,-8.06885400752805,2.2559716606688003,0.44301492374018187
MAD,AGP,454.89985714285723,13.272222222222222,0.1327222222222222,directo,429.9765529730858,57.06744361403899,82.24824147298143,-2.7863137017404087,-4.3961485688050095,1.6098348670646008,0.29420006651960573
MAD,AMS,617.8288571428571,7.03,0.0703,directo,1460.655482824093,102.68408044253374,159.549161211807,-5.244664833086815,-6.852761725919306,1.6080968928324912,0.2938393115727751
MAD,BCN,3595.032714285714,15.255555555555556,0.15255555555555556,directo,482.93085577562044,73.67378499776966,86.21981418317154,-3.197871983618824,-4.558749344134599,1.360877360515775,0.2452646568675424
MAD,BIO,849.3355714285715,24.772222222222222,0.24772222222222223,directo,319.17495448909585,79.06672900371547,73.93812158668219,-3.060097011807953,-4.579274060747592,1.5191770489396386,0.2757325011180575
MAD,BRU,625.9898571428572,9.331111111111111,0.09331111111111111,directo,1315.6121208044801,122.76122878351137,148.67090906033602,-5.428642756876948,-6.806908431888463,1.378265675011515,0.24849764490915865
MAD,EZE,553.548,4.79111111111111,0.047911111111111106,directo,10085.30153873687,483.198002611482,806.3976154052652,-25.791912360334944,-28.166775461653746,2.3748631013188017,0.47251684141832173
MAD,FCO,1141.0687142857141,7.147777777777778,0.07147777777777778,directo,1329.6286311014007,95.03889982083679,149.72214733260506,-4.895220943068837,-6.289441667334806,1.3942207242659688,0.2514891361518509
MAD,FRA,591.7434285714286,7.361111111111111,0.07361111111111111,directo,1422.0505721451593,104.67872267179645,156.65379291088695,-5.226650311653668,-6.7578328892865045,1.531182577632837,0.2781364980548514
MAD,GRU,208.9757142857143,5.5,0.055,directo,8377.59190069899,460.7675545384444,678.3193925524242,-22.781738941817373,-25.466744115937693,2.6850051741203202,0.5498583835977895
MAD,IBZ,755.2158571428572,12.98857142857143,0.1298857142857143,directo,458.2394725643367,59.51876120792785,84.36796044232526,-2.8777344330050623,-4.250035781776123,1.3723013487710611,0.2473854990314383
MAD,JFK,703.3265714285715,5.567777777777778,0.05567777777777778,directo,5762.054156815669,320.8183708867035,482.15406176117517,-16.059448652957574,-18.147891704201044,2.0884430512434697,0.4021622940859996
