budget,blo_obj,mip_obj,obj_gap_pct_vs_mip,blo_used_budget,mip_used_budget,budget_gap_blo_minus_mip,blo_time_s,mip_time_s,blo_hubs,mip_hubs,blo_stations,mip_stations,blo_sum_f,mip_sum_f,blo_sum_fext,mip_sum_fext
30000,-22621.374599382645,-22060.419401379593,-2.542812934771183,30098.7686666613,30000.0,98.76866666130081,0.0,60.07309412956238,1,1,2,1,0.3367396464428165,0.3286604197862576,29.663260353557185,29.67133958021374
40000,-21879.212702504607,-39472750.30762001,99.94457134977422,40029.11004431269,39262.152402786276,766.9576415264164,0.0,7210.438000000024,1,1,5,3,1.475431923065562,1.268978404398303,28.52456807693444,28.731021595601696
50000,-25170.164321560675,-42503662.614675395,99.94078118737731,39643.7620427463,42873.97571778285,-3230.2136750365535,0.0,7459.561999999976,1,1,3,4,0.6210980666135857,1.73353893361748,29.378901933386416,28.266461066382522
60000,-31172.918815060162,-42503662.31424319,99.92665827573965,61195.378805535,42873.97574367678,18321.40306185822,0.0,7563.561999999976,2,1,5,4,1.2680133028411018,1.7335389036349607,28.7319866971589,28.26646109636504
70000,-38688.984427157615,-57575081.169923134,99.93280255339464,69489.14301054178,70000.0,-510.85698945821787,0.0,7608.812000000034,2,2,5,3,2.0128833280278977,2.0371459560875262,27.987116671972107,27.962854043912476
80000,-38711.51610636606,-64161179.777007654,99.93966520528315,69616.0457330803,73355.25708057919,-3739.2113474988873,0.0,7217.391000000003,2,2,5,3,2.017008013292246,2.4073088020155406,27.982991986707756,27.59269119798446
