budget,lam,alfa,mu_alfa,mu_beta,blo_file,blo_obj,blo_used_budget,blo_comp_time,blo_hubs,blo_stations,blo_sum_a,blo_sum_f,blo_sum_fext,blo_op_obj,blo_pax_obj,mip_file,mip_obj,mip_used_budget,mip_comp_time,mip_hubs,mip_stations,mip_sum_a,mip_sum_f,mip_sum_fext,mip_op_obj,mip_pax_obj,mip_gap,gap_obj_vs_mip_pct,budget_overrun_pct
30000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=30000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=30000_lam=4.mat,-22060.419401379593,30000.0,60.07309412956238,1,1,1.6260162601626016,0.3286604197862576,29.67133958021374,43893.12369585007,-65953.54309722966,6.431437538306103,75.67135374222414,132.05348577693434
40000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=40000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=40000_lam=4.mat,-39472750.30762001,39262.152402786276,7210.438000000024,1,3,2.952094472677349,1.268978404398303,28.731021595601696,73885.71778448534,-39546636.0254045,2.41274002084839,99.90182128911313,74.04011433270075
50000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=50000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=50000_lam=4.mat,-42503662.614675395,42873.97571778285,7459.561999999976,1,4,3.200803137310102,1.73353893361748,28.266461066382522,79698.76015831507,-42583361.37483371,1.820813740520621,99.9088223578402,39.232091466160604
60000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=60000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=60000_lam=4.mat,-42503662.31424319,42873.97574367678,7563.561999999976,1,4,3.2008031478360923,1.7335389036349607,28.26646109636504,79698.76037818448,-42583361.07462137,2.06522109762977,99.90882235719573,16.026742888467176
70000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=70000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=70000_lam=4.mat,-57575081.169923134,70000.0,7608.812000000034,2,3,6.097560975609755,2.0371459560875262,27.962854043912476,119132.77138594248,-57694213.94130908,1.65297629265167,99.93268991269116,-0.548506095599566
80000,4.0,0.1,1e-08,0.05,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0_blo/bud=80000_lam=4_alfa=0.1_mu_al=1e-08_mu_bet=0.05_python.mat,-38753.83740361579,69616.0457330803,0.0,6,6,5.932492432463665,2.017008013292246,27.982991986707756,116817.46750598119,155571.30490959698,/home/lcadarso/TFM/HubSpokeNetworkDesign/6node_spain/6node_hs_prueba_v0/2h_bud=80000_lam=4.mat,-64161179.777007654,73355.25708057919,7217.391000000003,2,3,7.461486618121631,2.4073088020155406,27.59269119798446,136987.08217024308,-64298166.859177895,1.549048494029569,99.93959924437439,-12.979942833649622
