budget,lam,alfa,mu_alfa,mu_beta,obj_val_ll,used_budget,comp_time,pax_obj,op_obj,n_hubs,n_stations,sum_a,sum_f,sum_fext
30000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
40000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
50000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
60000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
70000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
80000,4,0.1,1e-07,0.2,137542.78043026465,57288.30044735047,0.0,0.0,137542.78043026465,2,3,7.498410463482477,0.0,0.0
