origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,price_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound,direct_op_cost_per_pax_eur,direct_margin_per_pax_eur,market_potential_pax_week,market_potential_revenue_week,market_potential_margin_week
AGP,AMS,424.23957142857137,7.03,0.0703,via_mad,via_mad_avg_radial_price,1883.6572076534749,80.25315075819373,191.27429057401062,-5.4305488266440864,-6.7264332874635,1.2958844608194138,0.2334338621074891,158.35344317674083,-78.1002924185471,99.0318816173974,7947.620525308587,-7734.418913077676
AGP,BCN,912.1758571428572,13.272222222222222,0.1327222222222222,via_mad,via_mad_avg_radial_price,765.9683094439475,65.87377212272263,107.44762320829606,-3.466427906620374,-4.775079272697417,1.3086513660770436,0.23572617409322022,88.95445930098585,-23.08068717826322,215.02372490448954,14164.423855337342,-4962.895330425449
AGP,BIO,219.67557142857143,13.272222222222222,0.1327222222222222,via_mad,via_mad_avg_radial_price,749.0717635747908,68.45975689240841,106.1803822681093,-3.4928027832103545,-5.16535269874346,1.6725499155331054,0.3073885174177094,87.90532736793364,-19.44557047552523,67.52574821431669,4622.796306730102,-1313.076695814067
AGP,BRU,257.68557142857145,9.231111111111112,0.09231111111111112,via_mad,via_mad_avg_radial_price,1735.4787809078318,89.92224813506965,180.1609085680874,-5.401663134063141,-7.671391186057507,2.269728051994366,0.4464119598535314,149.15282190822052,-59.230573773150866,115.03392096740573,10344.10878518105,-6813.5251422747315
AGP,FCO,153.9041428571429,7.147777777777778,0.07147777777777778,via_mad,via_mad_avg_radial_price,1546.8499981834398,77.02525369657081,166.013749863758,-4.860780071206576,-7.091929632753326,2.23114956154675,0.43689896870641837,137.44057722925498,-60.41532353268417,67.24056129393101,5179.221292364856,-4062.3602650921225
AGP,FRA,260.63971428571426,7.010000000000001,0.07010000000000001,via_mad,via_mad_avg_radial_price,1817.1668998590326,79.96165371830811,186.28751748942744,-5.324983424154711,-6.935150224008581,1.6101667998538698,0.2942689958722018,154.2249600130336,-74.2633062947255,76.6981870072747,6132.913870297738,-5695.860953971376
AGP,LHR,193.90785714285713,10.995555555555555,0.10995555555555554,via_mad,via_mad_avg_radial_price,1676.6129590529367,98.62744224107865,175.74597192897025,-5.487468283400978,-6.703556756220776,1.2160884728197976,0.21945962782439207,145.4977545381453,-46.87031229706665,42.55494616079681,4197.085494546199,-1994.5636163414038
AGP,MAD,454.5361428571428,13.585555555555555,0.13585555555555553,directo,yield_times_distance,429.9765529730858,58.41470348002132,82.24824147298143,-2.813258899060055,-4.3961485688050095,1.5828896697449544,0.28863618377924327,68.09222605606307,-9.677522576041746,131.19557766402264,7663.750767133991,-1269.6481647204173
AGP,MUC,147.2144285714286,6.9511111111111115,0.06951111111111112,via_mad,via_mad_avg_radial_price,1854.2940375540825,80.98175538840663,189.07205281655618,-5.401076164099257,-7.514025440838642,2.1129492767393856,0.40806813603760694,156.53023980455632,-75.54848441614969,60.0735174649843,4864.858896670532,-4538.463198026662
AGP,MXP,142.93371428571427,8.64,0.0864,via_mad,via_mad_avg_radial_price,1485.7728605235832,79.79659133060332,161.43296453926874,-4.824591117397441,-7.052302037079462,2.2277109196820213,0.4360531843718569,133.64820593664953,-53.85161460604621,62.326701268382884,4973.458310097744,-3356.3934963711267
AGP,ORY,234.03571428571428,9.192222222222222,0.09192222222222222,via_mad,via_mad_avg_radial_price,1451.3772757884894,77.05266135876602,158.8532956841367,-4.718119140858055,-6.187330146764721,1.4692110059066659,0.26586668448663514,131.51253237466653,-54.45987101590052,62.222299408604286,4794.3937652949335,-3388.6184001053325
AGP,PMI,314.9951428571429,10.715555555555556,0.10715555555555556,via_mad,via_mad_avg_radial_price,709.1236015453673,58.47619912854033,103.18427011590254,-3.2332093848888572,-4.316422548695941,1.083213163807084,0.1975475183072906,85.42488593473412,-26.94868680619379,62.22650875027905,3638.769716755175,-1676.9226953541477
AMS,AGP,425.53985714285716,7.03,0.0703,via_mad,via_mad_avg_radial_price,1883.6572076534749,80.25315075819373,191.27429057401062,-5.4305488266440864,-6.7264332874635,1.2958844608194138,0.2334338621074891,158.35344317674083,-78.1002924185471,99.33541233352632,7971.979821629824,-7758.124750765356
AMS,BCN,1218.953,7.03,0.0703,via_mad,via_mad_avg_radial_price,1241.1357639966643,88.3858493338862,143.08518229974982,-4.629420632672721,-6.261956253187538,1.6325356205148172,0.29893571667437946,118.45832085818068,-30.072471524294485,364.38858864738484,32206.79489517519,-10958.065455876338
AMS,JFK,345.7715714285714,5.567777777777778,0.05567777777777778,via_mad,via_mad_avg_radial_price,5847.3632516271855,211.8238108400127,488.5522438720389,-14.007521094241032,-15.998101338022558,1.990580243781526,0.3788749078777575,295.76569665782745,-83.94188581781475,131.00417227174745,27749.80300654307,-10996.737270492358
AMS,LIS,377.61314285714286,7.03,0.0703,via_mad,via_mad_avg_radial_price,1846.2966304021368,85.60768550504545,188.47224728016027,-5.481598655704115,-7.26800332766744,1.786404671963325,0.3321444422715559,156.03366877224596,-70.42598326720051,125.42210672869507,10737.096268210373,-8832.975189812116
AMS,MAD,618.0934285714286,7.04111111111111,0.0704111111111111,directo,yield_times_distance,1460.655482824093,102.84637549618085,159.549161211807,-5.247910734159757,-6.852761725919306,1.604850991759549,0.29316624532825253,132.08863019713868,-29.24225470095783,181.20412971635216,18636.187966266618,-5298.817314030971
AMS,PMI,257.5567142857143,7.03,0.0703,via_mad,via_mad_avg_radial_price,1426.9727391404053,80.9882763397039,157.0229554355304,-4.760224635504686,-6.990249702959224,2.2300250674545374,0.43662234228429847,129.99721800762867,-49.00894166792477,112.45501586247642,9107.537900456025,-5511.3013126696615
AMS,VLC,263.52142857142854,7.03,0.0703,via_mad,via_mad_avg_radial_price,1481.1135703012455,86.8851190460929,161.08351777259344,-4.9593727363737266,-6.583822952158551,1.6244502157848242,0.29724399233293397,133.3589036025828,-46.47378455648992,78.33016149384952,6805.725406292797,-3640.299049540225
BCN,AGP,912.36,13.272222222222222,0.1327222222222222,via_mad,via_mad_avg_radial_price,765.9683094439475,65.87377212272263,107.44762320829606,-3.466427906620374,-4.775079272697417,1.3086513660770436,0.23572617409322022,88.95445930098585,-23.08068717826322,215.0671321956904,14167.283257346371,-4963.8972005349115
BCN,AMS,1218.4657142857143,7.03,0.0703,via_mad,via_mad_avg_radial_price,1241.1357639966643,88.3858493338862,143.08518229974982,-4.629420632672721,-6.261956253187538,1.6325356205148172,0.29893571667437946,118.45832085818068,-30.072471524294485,364.2429215431597,32193.919984448243,-10953.6848860325
