node_id,iata
i1,AGP
i2,ALC
i3,AMS
i4,BCN
i5,BIO
i6,BRU
i7,DUS
i8,FCO
i9,FRA
i10,IBZ
i11,JFK
i12,LGW
i13,LHR
i14,LIS
i15,LPA
i16,MAD
i17,MAH
i18,MUC
i19,MXP
i20,ORD
i21,ORY
i22,PMI
i23,SVQ
i24,TFN
i25,VLC
