i,j,o,d,value
i1          ,i1          ,i1          ,i1          ,0.000000000000000
i1          ,i1          ,i1          ,i2          ,0.000000000000000
i1          ,i1          ,i1          ,i3          ,0.000000000000000
i1          ,i1          ,i1          ,i4          ,0.000000000000000
i1          ,i1          ,i2          ,i1          ,0.000000000000000
i1          ,i1          ,i2          ,i2          ,0.000000000000000
i1          ,i1          ,i2          ,i3          ,0.000000000000000
i1          ,i1          ,i2          ,i4          ,0.000000000000000
i1          ,i1          ,i3          ,i1          ,0.000000000000000
i1          ,i1          ,i3          ,i2          ,0.000000000000000
i1          ,i1          ,i3          ,i3          ,0.000000000000000
i1          ,i1          ,i3          ,i4          ,0.000000000000000
i1          ,i1          ,i4          ,i1          ,0.000000000000000
i1          ,i1          ,i4          ,i2          ,0.000000000000000
i1          ,i1          ,i4          ,i3          ,0.000000000000000
i1          ,i1          ,i4          ,i4          ,0.000000000000000
i1          ,i2          ,i1          ,i1          ,0.000000000000000
i1          ,i2          ,i1          ,i2          ,0.000001130359935
i1          ,i2          ,i1          ,i3          ,0.000000002180096
i1          ,i2          ,i1          ,i4          ,0.000000001285913
i1          ,i2          ,i2          ,i1          ,-0.000000001772489
i1          ,i2          ,i2          ,i2          ,0.000000000000000
i1          ,i2          ,i2          ,i3          ,0.000000000170098
i1          ,i2          ,i2          ,i4          ,0.000000000000000
i1          ,i2          ,i3          ,i1          ,-0.000000001127900
i1          ,i2          ,i3          ,i2          ,0.000000000000000
i1          ,i2          ,i3          ,i3          ,0.000000000000000
i1          ,i2          ,i3          ,i4          ,0.000000413674615
i1          ,i2          ,i4          ,i1          ,-0.000000000941275
i1          ,i2          ,i4          ,i2          ,0.000000523395771
i1          ,i2          ,i4          ,i3          ,0.000000630875238
i1          ,i2          ,i4          ,i4          ,0.000000000000000
i1          ,i3          ,i1          ,i1          ,0.001000000000000
i1          ,i3          ,i1          ,i2          ,-0.000000000782102
i1          ,i3          ,i1          ,i3          ,0.000000023138360
i1          ,i3          ,i1          ,i4          ,0.000000000993648
i1          ,i3          ,i2          ,i1          ,-0.000000001991632
i1          ,i3          ,i2          ,i2          ,0.000000000000000
i1          ,i3          ,i2          ,i3          ,0.000000000000000
i1          ,i3          ,i2          ,i4          ,0.000000142368705
i1          ,i3          ,i3          ,i1          ,-0.000000000878161
i1          ,i3          ,i3          ,i2          ,0.000000000000000
i1          ,i3          ,i3          ,i3          ,0.000000000000000
i1          ,i3          ,i3          ,i4          ,0.000000000000000
i1          ,i3          ,i4          ,i1          ,-0.000000000999744
i1          ,i3          ,i4          ,i2          ,0.000000203952468
i1          ,i3          ,i4          ,i3          ,0.000001263824693
i1          ,i3          ,i4          ,i4          ,0.000000000000000
i1          ,i4          ,i1          ,i1          ,0.000000000000000
i1          ,i4          ,i1          ,i2          ,0.000000001944456
i1          ,i4          ,i1          ,i3          ,0.000000001806204
i1          ,i4          ,i1          ,i4          ,0.000000028159374
i1          ,i4          ,i2          ,i1          ,-0.000000001969461
i1          ,i4          ,i2          ,i2          ,0.000000000000000
i1          ,i4          ,i2          ,i3          ,-0.000000000251872
i1          ,i4          ,i2          ,i4          ,0.000000605274453
i1          ,i4          ,i3          ,i1          ,-0.000000000987074
i1          ,i4          ,i3          ,i2          ,-0.000000000294220
i1          ,i4          ,i3          ,i3          ,0.000000000000000
i1          ,i4          ,i3          ,i4          ,0.000001555088380
i1          ,i4          ,i4          ,i1          ,0.000000000120322
i1          ,i4          ,i4          ,i2          ,0.000000000000000
i1          ,i4          ,i4          ,i3          ,0.000000000000000
i1          ,i4          ,i4          ,i4          ,0.000000000000000
i2          ,i1          ,i1          ,i1          ,0.000000000000000
i2          ,i1          ,i1          ,i2          ,-0.000000001113981
i2          ,i1          ,i1          ,i3          ,0.000000000113616
i2          ,i1          ,i1          ,i4          ,0.000000000363316
i2          ,i1          ,i2          ,i1          ,0.000001918990695
i2          ,i1          ,i2          ,i2          ,0.000000000000000
i2          ,i1          ,i2          ,i3          ,0.000000000960377
i2          ,i1          ,i2          ,i4          ,0.000000434859819
i2          ,i1          ,i3          ,i1          ,0.000000000891379
i2          ,i1          ,i3          ,i2          ,-0.000000000679952
i2          ,i1          ,i3          ,i3          ,0.000000000000000
i2          ,i1          ,i3          ,i4          ,0.000000636357292
i2          ,i1          ,i4          ,i1          ,-0.000000000277860
i2          ,i1          ,i4          ,i2          ,0.000000101726243
i2          ,i1          ,i4          ,i3          ,0.000000410733012
i2          ,i1          ,i4          ,i4          ,0.000000000000000
i2          ,i2          ,i1          ,i1          ,0.000000000000000
i2          ,i2          ,i1          ,i2          ,0.000000000000000
i2          ,i2          ,i1          ,i3          ,0.000000000000000
i2          ,i2          ,i1          ,i4          ,0.000000000000000
i2          ,i2          ,i2          ,i1          ,0.000000000000000
i2          ,i2          ,i2          ,i2          ,0.000000000000000
i2          ,i2          ,i2          ,i3          ,0.000000000000000
i2          ,i2          ,i2          ,i4          ,0.000000000000000
i2          ,i2          ,i3          ,i1          ,0.000000000000000
i2          ,i2          ,i3          ,i2          ,0.000000000000000
i2          ,i2          ,i3          ,i3          ,0.000000000000000
i2          ,i2          ,i3          ,i4          ,0.000000000000000
i2          ,i2          ,i4          ,i1          ,0.000000000000000
i2          ,i2          ,i4          ,i2          ,0.000000000000000
i2          ,i2          ,i4          ,i3          ,0.000000000000000
i2          ,i2          ,i4          ,i4          ,0.000000000000000
i2          ,i3          ,i1          ,i1          ,0.000000000000000
i2          ,i3          ,i1          ,i2          ,-0.000000001909722
i2          ,i3          ,i1          ,i3          ,0.000000001418450
i2          ,i3          ,i1          ,i4          ,0.000000000000000
i2          ,i3          ,i2          ,i1          ,0.000000003844779
i2          ,i3          ,i2          ,i2          ,0.001000000000000
i2          ,i3          ,i2          ,i3          ,0.000000013108234
i2          ,i3          ,i2          ,i4          ,0.000000500304944
i2          ,i3          ,i3          ,i1          ,0.000000001510246
i2          ,i3          ,i3          ,i2          ,0.000000000330048
i2          ,i3          ,i3          ,i3          ,0.000000000000000
i2          ,i3          ,i3          ,i4          ,0.000000000000000
i2          ,i3          ,i4          ,i1          ,-0.000000000211242
i2          ,i3          ,i4          ,i2          ,0.000000138033341
i2          ,i3          ,i4          ,i3          ,0.000001623733151
i2          ,i3          ,i4          ,i4          ,0.000000000000000
i2          ,i4          ,i1          ,i1          ,0.000000000000000
i2          ,i4          ,i1          ,i2          ,-0.000000001994666
i2          ,i4          ,i1          ,i3          ,-0.000000001017295
i2          ,i4          ,i1          ,i4          ,-0.000000000301680
i2          ,i4          ,i2          ,i1          ,-0.000000001679525
i2          ,i4          ,i2          ,i2          ,0.000000000000000
i2          ,i4          ,i2          ,i3          ,0.000000000000000
i2          ,i4          ,i2          ,i4          ,0.604871876879880
i2          ,i4          ,i3          ,i1          ,-0.000000000764920
i2          ,i4          ,i3          ,i2          ,-0.000000000929747
i2          ,i4          ,i3          ,i3          ,0.000000000000000
