origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
AGP,ORY,234.03571428571428,11.549444444444443,0.11549444444444443,via_mad,1451.3772757884894,167.6260121464828,158.8532956841367,-6.529586156612391,-7.9436569918487905,1.4140708352363998,0.2552441678538439
AGP,PMI,314.9951428571429,12.275555555555556,0.12275555555555556,via_mad,709.1236015453673,87.04886166525797,103.18427011590254,-3.8046626356232105,-4.925900293326107,1.1212376577028964,0.20364464198126314
AGP,TXL,158.85885714285718,9.974444444444444,0.09974444444444444,via_mad,2245.875257637868,224.01357986461267,218.4406443228401,-8.849084483749055,-13.269227254807587,4.420142771058533,0.8738278474944507
ALC,AMS,278.74042857142854,12.555,0.12555,via_mad,1613.153078356554,202.53136898766536,170.98648087674155,-7.470356997288139,-8.798732201278263,1.3283752039901238,0.23929811071153534
ALC,BCN,418.5535714285714,16.66777777777778,0.16667777777777779,via_mad,403.8571063663093,67.31400502890007,80.28928297747319,-2.952065760127465,-4.261912743366029,1.3098469832385637,0.23594164375418963
ALC,MAD,692.6978571428572,18.08,0.1808,directo,354.8787756629991,64.16208263987023,76.61590817472494,-2.8155598162919033,-4.338258779774838,1.5226989634829349,0.2764363970986029
AMM,JFK,150.17514285714284,5.467222222222222,0.054672222222222226,via_mad,9214.61005397763,503.7832085621882,741.0957540483223,-24.89757925221021,-39.2856207328051,14.38804148059489,0.9999932308944535
AMS,AGP,425.53985714285716,10.156666666666666,0.10156666666666667,via_mad,1883.6572076534749,191.3167837240046,191.27429057401062,-7.651821485960305,-8.766093927341434,1.1142724413811287,0.20251739984676345
AMS,ALC,261.62571428571425,12.872222222222222,0.1287222222222222,via_mad,1613.153078356554,207.6486490306742,170.98648087674155,-7.5727025981483145,-8.798732201278263,1.2260296031299482,0.22116726295364572
AMS,BCN,1218.953,11.148333333333333,0.11148333333333334,via_mad,1241.1357639966643,138.36595208956146,143.08518229974982,-5.629022687786225,-7.253011420859835,1.6239887330736096,0.2971476022295408
AMS,BOS,197.69099999999997,6.732777777777777,0.06732777777777776,via_mad,5547.542313937325,373.50369612559126,466.0656735452994,-16.791387393417814,-26.000084697487637,9.208697304069823,0.9987994697031868
AMS,IAD,190.07071428571427,6.131269841269841,0.06131269841269841,via_mad,6206.48961962101,380.5366262493663,515.4867214715757,-17.920466954418842,-28.23381151935915,10.313344564940309,0.9996019114472029
AMS,JFK,345.7715714285714,6.304444444444444,0.06304444444444444,via_mad,5847.3632516271855,368.6437676636961,488.5522438720389,-17.1439202307147,-18.596051410034338,1.4521311793196396,0.2625463752551738
AMS,LIS,377.61314285714286,10.260555555555555,0.10260555555555556,via_mad,1846.2966304021368,189.44029148276147,188.47224728016027,-7.5582507752584345,-9.175002870173467,1.6167520949150322,0.2956384457845541
AMS,MAD,618.0934285714286,7.04111111111111,0.0704111111111111,directo,1460.655482824093,102.84637549618085,159.549161211807,-5.247910734159757,-6.620235743376819,1.3723250092170618,0.2473899042995302
AMS,ORD,178.32085714285716,6.242222222222222,0.06242222222222222,via_mad,6612.355210079026,412.7579063358218,545.9266407559269,-19.173690941834973,-21.45484106663621,2.2811501248012362,0.44923637561934904
AMS,PMI,257.5567142857143,9.003333333333334,0.09003333333333334,via_mad,1426.9727391404053,128.47511228060785,157.0229554355304,-5.709961354322765,-7.745712250890673,2.035750896567908,0.3895615120261963
AMS,VLC,263.52142857142854,16.27722222222222,0.1627722222222222,via_mad,1481.1135703012455,241.08414720142326,161.08351777259344,-8.043353299480334,-10.107597199853195,2.064243900372862,0.39635817090287834
ARN,BCN,271.9222857142857,10.114444444444445,0.10114444444444444,via_mad,2314.9208838961954,234.14138673452294,223.61906629221465,-9.155209060534752,-13.653366140155516,4.498157079620764,0.8821812835411281
ARN,MAD,222.44571428571427,4.973333333333333,0.049733333333333324,directo,2601.349370751164,129.3737753720245,245.10120280633728,-7.489499563567236,-12.426992599892696,4.93749303632546,0.9207503826486731
ATH,BCN,274.7155714285715,10.820555555555556,0.10820555555555555,via_mad,1904.5044335123134,206.07796028621848,192.8378325134235,-7.9783158559928395,-11.776729541354653,3.7984136853618136,0.7880994180915991
ATH,JFK,237.96871428571427,5.976666666666667,0.05976666666666666,via_mad,7932.294735427592,474.0868153540557,644.9221051570694,-22.380178410222502,-35.47453055830767,13.094352148085168,0.9999753188355909
ATH,MAD,299.9384285714286,6.385555555555555,0.06385555555555555,directo,2377.1295548563853,151.79292835288496,228.2847166142289,-7.601552899342277,-12.115175541728206,4.513622642385929,0.8837792580366921
ATL,LHR,194.14785714285713,9.793912783751495,0.09793912783751495,media_global,6760.556234014965,662.1229812559003,557.0417175511225,-24.383293976140457,-35.25396844843121,10.870674472290752,0.999771961455176
BCN,AGP,912.36,14.332777777777778,0.14332777777777778,via_mad,765.9683094439475,109.78453564080223,107.44762320829606,-4.3446431769819664,-5.705795595600987,1.361152418619021,0.24531557641435242
BCN,ALC,418.4711428571428,17.048333333333332,0.17048333333333332,via_mad,403.8571063663093,68.85090568368297,80.28928297747319,-2.9828037732231234,-4.261912743366029,1.2791089701429055,0.23044544757349664
BCN,AMS,1218.4657142857143,11.211666666666666,0.11211666666666666,via_mad,1241.1357639966643,139.15200474009268,143.08518229974982,-5.64474374079685,-7.253011420859835,1.6082676800629851,0.29387475079005554
BCN,ATH,274.7677142857143,10.888333333333334,0.10888333333333333,via_mad,1904.5044335123134,207.36879106893238,192.8378325134235,-8.004132471647118,-11.776729541354653,3.772597069707535,0.7837560122470865
BCN,BIO,794.168,20.08277777777778,0.20082777777777777,via_mad,466.8079283345254,93.74799889647088,85.0105946250894,-3.5751718704312054,-4.9643257099763085,1.389153839545103,0.2505365353919848
BCN,BRU,701.2151428571427,12.362222222222222,0.12362222222222222,via_mad,1083.7817530003974,133.9795087098047,131.2836314750298,-5.3052628036966905,-6.689779308281,1.38451650458431,0.24966680008275538
BCN,BUD,172.76185714285717,9.793912783751495,0.09793912783751495,media_global,1522.187192716116,149.08168606005168,164.1640394537087,-6.264914510275208,-9.466703431553542,3.201788921278334,0.6719201028934934
BCN,CPH,512.1714285714286,9.512,0.09512000000000001,directo,1768.4171519142376,168.2118394900823,182.63128639356782,-7.016862517673003,-10.670909105648333,3.65404658797533,0.7629895203290387
