origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
EZE,MAD,transatlantic,0.2369362869558295,550.6405714285714,130.46673244152194,505.2736070907173,7.56690809873406,497.7066989919832,65921.39650606729,987.2297743271221,64934.16673174017
JFK,MAD,transatlantic,0.3782913056658969,711.3587142857143,269.10081682395656,320.9464165346327,116.06260994726914,204.88380658736355,86366.94284619146,31232.54313953039,55134.39970666106
MAD,JFK,transatlantic,0.3826114732228797,703.3265714285715,269.10081565108266,320.8183708867035,117.38807026893826,203.43030061776525,86332.48528146347,31589.225457077893,54743.259824385575
BCN,MAD,regional,0.2266513214632389,3596.4700000000003,815.1446781028949,74.33915639906051,16.625354853469922,57.71380154559059,60597.16771335294,13552.069530378141,47045.0981829748
MAD,BCN,regional,0.2267419371990215,3595.032714285714,815.1446819309991,73.67378499776966,16.632001641452597,57.04178335631706,60054.79403865976,13557.487687897732,46497.30635076203
MEX,MAD,transatlantic,0.1826896645046179,441.60585714285713,80.6768258847028,448.0052409163106,10.183583699095069,437.8216572172155,36143.640816839514,821.5792089741905,35322.061607865326
MAD,LHR,regional,0.2899247858389201,1132.747714285714,328.4116384738119,141.94489605840718,35.28115841908657,106.6637376393206,46616.355887536425,11586.743043666344,35029.612843870076
LHR,MAD,regional,0.2888460561807596,1136.9781428571428,328.41165252800994,137.0827258118471,35.14988553541298,101.93284027643412,45019.56451691279,11543.63199485537,33475.93252205742
MAD,GRU,transatlantic,0.5498585045852937,208.9757142857143,114.90707375178647,460.7675545384444,225.79892710299922,234.9686274354452,52945.45137177932,25945.893969698587,26999.55740208074
GRU,MAD,transatlantic,0.5877266346862146,209.78914285714288,123.29866692513409,442.80227412916776,224.92342285081594,217.87885127835182,54596.93011154417,27732.758197743846,26864.171913800325
BCN,PMI,regional,0.1511734915702542,1972.4500000000003,298.1821534477479,66.60889770423279,8.7222139404827,57.886683763750085,19861.584556228885,2600.8085356050983,17260.776020623784
PMI,BCN,regional,0.1512038038582078,1972.0545714285713,298.18215261596777,66.60889770423279,8.723962868737683,57.8849348354951,19861.584500824927,2601.3300275419756,17260.25447328295
BIO,MAD,regional,0.2602738588863936,849.1658571428571,221.01567447314346,79.29015147185783,16.823675666777433,62.46647580508039,17524.366306630367,3718.296024610226,13806.07028202014
MAD,BIO,regional,0.2602218515894364,849.3355714285715,221.01567501791487,79.06672900371547,16.820313970947346,62.24641503276812,17474.98648221472,3717.553046302192,13757.43343591253
BCN,MXP,regional,0.1994090125104965,852.9751428571428,170.09093093314254,87.92928990629579,17.458070064402175,70.47121984189361,14955.974776452025,2969.459389550194,11986.51538690183
MXP,BCN,regional,0.2020585217244893,841.7904285714285,170.09092959896714,87.92928990629579,17.690032223591388,70.2392576827044,14955.974659138928,3008.9140255463426,11947.060633592586
BIO,BCN,regional,0.2375480934046426,794.2462857142857,188.6716908651476,76.59245546810087,17.76457643268871,58.82787903541215,14450.82808068011,3351.672673058531,11099.15540762158
BCN,BIO,regional,0.2375715098178181,794.168,188.67169080899697,76.59245546810087,17.766327588648647,58.826127879452216,14450.828076379395,3352.00306561687,11098.825010762524
MAD,VLC,regional,0.2457326697750523,773.2588571428571,190.01496339292004,72.54035604379727,15.124819135013446,57.41553690878383,13783.753098171524,2873.9419542641167,10909.81114390741
BCN,IBZ,regional,0.1736422326398464,1092.0445714285713,189.62505752508136,66.84935413904972,10.915164719484592,55.93418941956513,12676.312624131839,2069.7887378280043,10606.523886303834
IBZ,BCN,regional,0.1736599990032624,1091.9328571428573,189.62505888305807,66.84935413904972,10.916281444352151,55.93307269469757,12676.312714911706,2070.000511669311,10606.312203242394
VLC,MAD,regional,0.2468945364128518,769.62,190.01497311405902,69.46966420185969,15.196331130062914,54.27333307179677,13200.276375559077,2887.5304511112427,10312.745924447834
BCN,MAH,regional,0.1688657765239698,981.8344285714287,165.79823319868248,69.57228582203227,10.14082763456016,59.43145818747211,11534.962068886698,1681.3313049824492,9853.630763904248
MAH,BCN,regional,0.1698573126585324,976.1029999999998,165.79823245793142,69.57228582203227,10.20037199304689,59.371913828985384,11534.962017350952,1691.2036468605613,9843.758370490392
VLC,PMI,regional,0.1490810505907375,653.5624285714285,97.4337734780624,65.10816741643949,9.356986171302916,55.75118124513657,6343.734435625129,911.6864710520907,5432.0479645730375
PMI,VLC,regional,0.1509218243350084,645.591,97.4337714942624,65.10816741643949,9.472521467694703,55.63564594874478,6343.734306463546,922.9434921578608,5420.790814305685
PMI,IBZ,regional,0.1937722419608955,437.20985714285706,84.71913422597426,59.451781144867425,10.36796826236865,49.083812882498776,5036.703426785269,878.3652948702509,4158.3381319150185
IBZ,PMI,regional,0.193966111425713,436.77285714285716,84.71913267629846,59.451781144867425,10.37834159278476,49.07343955208266,5036.703334654282,879.2440983590787,4157.4592362952035
PMI,MAH,regional,0.204154707219367,349.6892857142857,71.39071374274957,62.17471282784997,10.760243899166923,51.41446892868305,4438.697125530697,768.1814920075933,3670.5156335231036
MAH,PMI,regional,0.204359162417537,349.3394285714285,71.39071302227812,62.17471282784997,10.771020066375373,51.4036927614746,4438.697080735592,768.9508025158033,3669.7462782197886
SVQ,MAD,regional,0.2124346149984613,181.70557142857143,38.600553109503984,67.17648830276391,2.053340958194022,65.12314734456989,2593.0496044408114,79.26009670868814,2513.789507732123
