file,budget,lam,alfa,mu_alfa,mu_beta,obj_val,pax_obj,op_obj,used_budget,comp_time,combo,rank_in_budget,gap_vs_best_pct
bud=3.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,300000.0,10.0,0.1,1e-07,0.005,-56864.815286828554,753653.4365101414,696788.6212233128,290055.5522109454,5588.511290797964,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=5.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,500000.0,10.0,0.1,0.0,0.0,52554.53801261622,892730.2159537628,945284.753966379,406248.7020097639,5709.80076864548,"mu_al=0, mu_b=0",3.0,188.4033345497846
bud=5.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,500000.0,10.0,0.1,1e-08,0.001,21855.70400445792,860463.6150970812,882319.3191015391,403760.15086569695,5702.330613356084,"mu_al=1e-08, mu_b=1e-03",2.0,136.7640395290572
bud=5.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,500000.0,10.0,0.1,1e-07,0.005,-59448.592386546195,775802.6656612616,716354.0732747155,394219.2988433304,5614.645612457767,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=1.00e+06_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,1000000.0,10.0,0.1,0.0,0.0,52553.541401874274,892730.7345402546,945284.2759421289,406247.2502898397,5703.012553492561,"mu_al=0, mu_b=0",3.0,186.16559782409107
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,1000000.0,10.0,0.1,1e-08,0.001,21167.17004076147,859268.2893453443,880435.4593861058,403757.98651878856,5707.821899652481,"mu_al=1e-08, mu_b=1e-03",2.0,134.7052132388048
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,1000000.0,10.0,0.1,1e-07,0.005,-60991.326850843034,772003.6801736578,711012.3533228148,394231.5291950282,5616.69696804136,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=5.00e+06_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,5000000.0,10.0,0.1,0.0,0.0,52553.1546637679,892730.820593984,945283.9752577519,406247.35293288005,5695.899393759668,"mu_al=0, mu_b=0",3.0,188.4323302681946
bud=5.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,5000000.0,10.0,0.1,1e-08,0.001,21882.070041577448,860488.4407785643,882370.5108201418,403765.6612923973,5690.918115416542,"mu_al=1e-08, mu_b=1e-03",2.0,136.8214326475564
bud=5.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,5000000.0,10.0,0.1,1e-07,0.005,-59427.53572634177,775832.011421253,716404.4756949112,394231.20316259656,5598.939095098525,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
