simulation,parameter,origin,destination,value,delta_vs_1
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,LHR,BIO,0.999527425,-0.000472575
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,IBZ,VLC,1.000204583,0.000204583
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,IBZ,1.000203776,0.000203776
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,BIO,1.000128932,0.000128932
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BIO,MAD,1.000127279,0.000127279
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MXP,BCN,1.000110592,0.000110592
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,BCN,MXP,1.000105785,0.000105785
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,MAD,1.000065740,0.000065740
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,MAD,VLC,1.000052637,0.000052637
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,VLC,PMI,1.000028276,0.000028276
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,VLC,1.000025330,0.000025330
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,beta_od,PMI,IBZ,1.000011448,0.000011448
