origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
BCN,MAD,regional,0.2266806924568195,3596.4700000000003,815.2503100001776,74.33915639906051,16.62723896421697,57.71191743484354,60605.02029948577,13555.361720024917,47049.658579460855
MAD,BCN,regional,0.2267713189388545,3595.032714285714,815.2503102469014,73.67378499776966,16.633875509029377,57.03990948874028,60062.57607649523,13560.772169344535,46501.80390715069
BCN,PMI,regional,0.1511379777934992,1972.4500000000003,298.11210429878753,66.60889770423279,8.722214806608182,57.88668289762461,19856.918659631516,2600.1978101440072,17256.72084948751
PMI,BCN,regional,0.1511682833772682,1972.0545714285713,298.1121042891515,66.60889770423279,8.723968697946631,57.88492900628616,19856.918658989667,2600.720666297559,17256.19799269211
BCN,MXP,regional,0.1994179445827117,852.9751428571428,170.0985497687163,87.92928990629579,17.458688740682934,70.47060116561286,14956.644695253939,2969.6976356535833,11986.947059600358
MXP,BCN,regional,0.2020675737265301,841.7904285714285,170.09854948764448,87.92928990629579,17.690665717127317,70.23862418916848,14956.644670539494,3009.1565779541565,11947.488092585336
BIO,BCN,regional,0.2375419661954959,794.2462857142857,188.66682435204103,76.59245546810087,17.76443300054809,58.82802246755277,14450.45534249171,3351.559160628008,11098.896181863702
BCN,BIO,regional,0.2375653820683369,794.168,188.666824346447,76.59245546810087,17.766183677133526,58.82627179096734,14450.45534206325,3351.8894551204644,11098.565886942784
BCN,IBZ,regional,0.1736393778764104,1092.0445714285713,189.62193999616835,66.84935413904972,10.915163247759136,55.934190891290584,12676.104219337494,2069.7544304149646,10606.34978892253
IBZ,BCN,regional,0.1736571426995394,1091.9328571428573,189.62193999117295,66.84935413904972,10.91628275347845,55.933071385571274,12676.104219003555,2069.966713206767,10606.137505796789
BCN,MAH,regional,0.1688836291195356,981.8344285714287,165.81576149164835,69.57228582203227,10.14083471539115,59.43145110664112,11536.181552294891,1681.5102304935267,9854.671321801365
MAH,BCN,regional,0.1698752706070162,976.1029999999998,165.8157612653203,69.57228582203227,10.200371169536163,59.37191465249611,11536.181536548731,1691.3823106654645,9844.799225883267
