origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
JFK,MAD,transatlantic,0.3785319353252665,711.3587142857143,269.27199082906475,320.9464165346327,116.06261144989911,204.88380508473358,86421.88052973482,31252.410445934536,55169.47008380027
MAD,JFK,transatlantic,0.3828546771061115,703.3265714285715,269.2718674044342,320.8183708867035,117.38807178861475,203.43029909808877,86387.36182631103,31609.305301526074,54778.05652478495
BCN,MAD,regional,0.2267260817303021,3596.4700000000003,815.4135511605796,74.33915639906051,16.629291687014145,57.70986471204637,60617.155509639655,13559.74978779331,47057.40572184635
MAD,BCN,regional,0.2268168113734028,3595.032714285714,815.413857037355,73.67378499776966,16.635940039950082,57.03784495781957,60074.62518757218,13565.176033417865,46509.44915415431
EZE,MAD,transatlantic,0.1338138835656301,550.6405714285714,73.68335331165488,505.2736070907173,0.0,505.2736070907173,37230.253710319615,0.0,37230.253710319615
MAD,LHR,regional,0.2900917391145061,1132.747714285714,328.6007544151244,141.94489605840718,35.281158469502664,106.66373758890452,46643.19993016902,11593.415289718132,35049.78464045089
LHR,MAD,regional,0.2890123975905984,1136.9781428571428,328.6007790752487,137.0827258118471,35.149885568501915,101.93284024334518,45045.49049953166,11550.27978221557,33495.21071731609
MAD,GRU,transatlantic,0.5498585442473073,208.9757142857143,114.90708204018408,460.7675545384444,225.79892735928047,234.96862717916395,52945.45519080402,25945.895870658405,26999.559320145618
GRU,MAD,transatlantic,0.5833772650638451,209.78914285714288,122.38621640008832,442.80227412916776,224.92342305410494,217.8788510750628,54192.89494402355,27527.5267273483,26665.36821667525
MEX,MAD,transatlantic,0.1234787039233107,441.60585714285713,54.5289188849427,448.0052409163106,0.0,448.0052409163106,24429.24144195471,0.0,24429.24144195471
BCN,PMI,regional,0.1513019764175814,1972.4500000000003,298.43558338485843,66.60889770423279,8.722213958020806,57.886683746211986,19878.46524498507,2603.0190109694945,17275.446234015577
PMI,BCN,regional,0.1513321708847959,1972.0545714285713,298.4352993975715,66.60889770423279,8.723962900985075,57.88493480324772,19878.446328904924,2603.5384802887875,17274.907848616138
BIO,MAD,regional,0.2603885521955622,849.1658571428571,221.11306811533214,79.29015147185783,16.82367572764795,62.46647574420987,17532.0886632719,3719.934557117681,13812.154106154221
MAD,BIO,regional,0.2603366237721647,849.3355714285715,221.11315511531654,79.06672900371547,16.820314020631482,62.24641498308398,17482.693914659234,3719.1927031322225,13763.501211527013
BCN,MXP,regional,0.1994486202465606,852.9751428571428,170.12471534747004,87.92928990629579,17.46082625619229,70.4684636501035,14958.945416013743,2970.5180965663444,11988.427319447399
MXP,BCN,regional,0.2020987918023114,841.7904285714285,170.1248285650356,87.92928990629579,17.692825036693232,70.23646486960256,14958.955371153888,3009.988826198606,11948.966544955281
BIO,BCN,regional,0.2376948928242343,794.2462857142857,188.78828575890333,76.59245546810087,17.76584926366148,58.826606204439386,14459.758369887904,3353.9842275377255,11105.774142350177
BCN,BIO,regional,0.2377184336206295,794.168,188.78837299162808,76.59245546810087,17.767600545733732,58.82485492236714,14459.76505125649,3354.3163989942345,11105.448652262256
MAD,VLC,regional,0.245877494235433,773.2588571428571,190.12695018964035,72.54035604379727,15.124819234442505,57.41553680935477,13791.876660277821,2875.6357532141647,10916.240907063657
BCN,IBZ,regional,0.1737440092926002,1092.0445714285713,189.7362021662193,66.84935413904972,10.915164940245731,55.93418919880399,12683.742571607927,2071.001941780093,10612.740629827835
IBZ,BCN,regional,0.1737617669927269,1091.9328571428573,189.73618269455974,66.84935413904972,10.916281657714206,55.933072481335515,12683.741269940061,2071.213610953334,10612.527658986728
VLC,MAD,regional,0.2470399273162932,769.62,190.12686886116558,69.46966420185969,15.1963312234724,54.27333297838729,13208.049735536186,2889.230873695973,10318.818861840213
BCN,MAH,regional,0.1689442823891848,981.8344285714287,165.87531295999534,69.57228582203227,10.140827712259721,59.43145810977255,11540.32468407185,1682.1129704444747,9858.211713627376
MAH,BCN,regional,0.1699362673898089,976.1029999999998,165.87530040799462,69.57228582203227,10.200372073364477,59.371913748667794,11540.323810800468,1691.9897819426515,9848.334028857817
VLC,PMI,regional,0.1491934660110298,653.5624285714285,97.50724397315753,65.10816741643949,9.356987441930336,55.75117997450915,6348.517964919951,912.3740573540724,5436.143907565878
PMI,VLC,regional,0.1510356268732513,645.591,97.50724138872918,65.10816741643949,9.472522753130468,55.635644663309016,6348.517796652557,923.639562649722,5424.878234002835
PMI,IBZ,regional,0.1939011786987488,437.20985714285706,84.77550663871156,59.451781144867425,10.367968508059864,49.083812636807565,5040.054867129936,878.9497830849814,4161.105084044954
IBZ,PMI,regional,0.1940952238976257,436.77285714285716,84.77552549954855,59.451781144867425,10.378341866166528,49.073439278700896,5040.055988440288,879.8293855182327,4160.2266029220555
PMI,MAH,regional,0.2042632279830317,349.6892857142857,71.42866229108066,62.17471282784997,10.7602440834601,51.41446874438987,4441.056565625416,768.5898408070701,3672.466724818346
MAH,PMI,regional,0.2044677982920426,349.3394285714285,71.42866381660026,62.17471282784997,10.771020272299092,51.40369255555088,4441.05666047416,769.359585991838,3671.6970744823216
SVQ,MAD,regional,0.1516776088116075,181.70557142857143,27.56066658203246,67.17648830276391,0.0,67.17648830276391,1851.42879626428,0.0,1851.42879626428
