origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
EZE,MAD,transatlantic,0.2551430229956694,550.6405714285714,140.49209997834853,505.2736070907173,118.34731860414925,386.92628848656807,70986.95012380985,16626.863317503605,54360.08680630625
MAD,EZE,transatlantic,0.2504069921771562,553.548,138.61228970568044,483.198002611482,116.47920769346723,366.7187949180148,66977.18152318888,16145.449681495002,50831.73184169388
MAD,LHR,regional,0.3358512742087004,1132.747714285714,380.43476319984995,141.94489605840718,39.789048811755364,102.15584724665182,54000.77291940745,15137.137362647423,38863.635556760026
LHR,MAD,regional,0.3221337708046352,1136.9781428571428,366.2590564810226,137.0827258118471,42.276863567437736,94.80586224440935,50207.78981569384,15484.284161186664,34723.50565450717
MAD,MEX,transatlantic,0.205690147223503,440.9417142857143,90.69736612841237,441.2554430432742,89.89983771023665,351.3556053330376,40020.70647385065,8153.6784956901865,31867.02797816047
MEX,MAD,transatlantic,0.2056723899550186,441.60585714285713,90.82613205670594,448.0052409163106,97.4890606010668,350.5161803152438,40690.58317356119,8854.554292236702,31836.028881324484
MAD,ORY,regional,0.2564293092655095,1165.2614285714285,298.80718324231225,98.01849734456039,27.22896362578525,70.78953371877513,29288.63109717215,8136.209923628268,21152.421173543884
ORY,MAD,regional,0.2477770875062798,1118.7234285714287,277.19403285646825,94.71000099644337,26.281169843137523,68.42883115330585,26253.047128044265,7284.983457005085,18968.06367103918
MAD,BRU,regional,0.2228072484413195,625.9898571428572,139.4750776221747,122.76122878351137,18.83116129511656,103.93006748839481,17122.131913573794,2626.4776833520737,14495.65423022172
FCO,MAD,regional,0.1416377691297106,1131.3857142857144,160.24694859665274,97.57996787138613,18.33942080677951,79.24054706460662,15636.89209554904,2938.8362233163803,12698.055872232659
MAD,FCO,regional,0.1415661154749259,1141.0687142857141,161.53666537139662,95.03889982083679,18.396539803157765,76.64236001767902,15352.266957624199,2971.7156941742746,12380.551263449925
BIO,MAD,regional,0.1997815738371627,849.1658571428571,169.64769138878324,79.29015147185783,12.84070608056014,66.44944539129769,13451.391147067614,2178.3961423689393,11272.995004698674
MAD,BIO,regional,0.1997820950221459,849.3355714285715,169.68203983683145,79.06672900371547,12.702900833091118,66.36382817062434,13416.203860576405,2155.4541252038866,11260.749735372518
AGP,BCN,regional,0.3061082372774149,912.1758571428572,279.224543717015,65.87377212272263,27.176764614787803,38.69700750793483,18393.57396388585,7588.419699268844,10805.154264617007
BCN,AGP,regional,0.2913339746040424,912.36,265.80146506974415,65.87377212272263,28.700712810654245,37.17305931206838,17509.345139890145,7628.691513617873,9880.653626272271
MAD,FRA,regional,0.1976639890593915,591.7434285714286,116.96636659110968,104.67872267179645,26.18710393514051,78.49161873665594,12243.889850318446,3063.0103988371357,9180.87945148131
FRA,MAD,regional,0.2041064284808679,590.4832857142857,120.52143452479073,99.68574510737568,27.021182860348933,72.66456224702675,12014.269002013556,3256.6317208859414,8757.637281127616
AMS,MAD,regional,0.1470735971617933,618.0934285714286,90.90522392206596,102.84637549618085,20.485197731763378,82.36117776441748,9349.272794053199,1862.2114868937476,7487.061307159451
MAD,AMS,regional,0.1471032867250288,617.8288571428571,90.88465551928256,102.68408044253374,20.703901892411018,81.98017855012273,9332.407278333978,1881.6669913967976,7450.740286937182
EZE,BCN,transatlantic,0.3097328275327199,202.37385714285713,62.681826991559866,284.1211377747574,173.21199352243897,110.90914425231844,17809.23200264249,10857.244210836709,6951.987791805781
MAD,MUC,regional,0.1631236808230595,428.1665714285714,69.84410713681798,104.43856287725274,22.190249520014937,82.2483133572378,7294.418174814141,1549.858164868647,5744.560009945495
MUC,MAD,regional,0.1611654752141761,428.12514285714286,68.99899209970846,104.00631158231347,22.08290152785385,81.92341005445962,7176.330671187864,1523.6979480590276,5652.632723128836
AGP,MAD,regional,0.2428443403703788,454.5361428571428,110.3815297866391,58.41470348002132,10.290328092640195,48.12437538738113,6447.904332157665,1135.8621568720528,5312.042175285612
BIO,TFN,regional,0.3441608965489164,151.08014285714287,51.99587741645266,93.103795029668,1.7537876224398385,91.35000740722816,4841.013513369152,91.1897262308738,4749.823787138278
AGP,AMS,regional,0.26004772983355,424.23957142857137,110.32253745555816,80.25315075819373,41.074521803184126,39.1786289550096,8853.731230447383,4531.445470100921,4322.285760346462
AMS,AGP,regional,0.2601517256469811,425.53985714285716,110.7049281672841,80.25315075819373,41.24649448646339,39.006656271730336,8884.419289884057,4566.190209276209,4318.229080607848
SVQ,ORY,regional,0.3164133191855258,344.63628571428575,109.04751107462836,81.3612642738434,41.86330944513018,39.497954828713226,8872.243366947703,4565.089700338427,4307.153666609276
ORY,SVQ,regional,0.3165216836259195,344.5182857142857,109.04750783420127,81.3612642738434,41.95929032513403,39.401973948709376,8872.243103302459,4575.556040447578,4296.68706285488
AMS,LIS,regional,0.2652814935457306,377.61314285714286,100.1737785196402,85.60768550504545,43.100327687933486,42.507357817111966,8575.645327361435,4317.522679934965,4258.12264742647
SVQ,BIO,regional,0.40107553164541,274.5894285714286,110.13110104849505,72.76835980748578,35.034712135287684,37.733647672198096,8014.059587091462,3858.411422376304,4155.648164715159
BIO,SVQ,regional,0.4009553801874882,274.6717142857143,110.13110162817772,72.76835980748578,35.3153798582405,37.45297994924528,8014.059629274019,3889.3216882055845,4124.737941068434
VLC,ORY,regional,0.1689971915328495,360.075,60.851663741190784,83.68462964666517,18.467368101001664,65.2172615456635,5092.348943564954,1123.7700738669462,3968.578869698008
ORY,VLC,regional,0.172262975099209,353.2485714285714,60.85164986383114,83.68462964666519,18.62424299173889,65.0603866549263,5092.347782243253,1133.315913512206,3959.031868731048
TFN,BIO,regional,0.3421408486266556,151.97214285714287,51.995877924754204,93.10379502966799,18.81068942193851,74.29310560772949,4841.013560693954,978.07831086358,3862.9352498303742
PMI,SVQ,regional,0.231875580838712,376.06328571428577,87.19989280711451,62.7848020436177,21.446801770798466,41.33800027281924,5474.828008119368,1870.1588154690598,3604.6691926503077
SVQ,PMI,regional,0.2410967996975415,361.68,87.1998905146068,62.7848020436177,22.304539128113067,40.48026291550464,5474.8278641847255,1944.953369950223,3529.8744942345024
BIO,PMI,regional,0.1901667101282146,311.4317142857143,59.223944535304376,69.19488247391857,16.066054100084067,53.1288283738345,4097.993881762258,951.4950969245782,3146.49878483768
PMI,BIO,regional,0.1903180030369722,311.18414285714283,59.223944645343295,69.19488247391857,16.100540647608806,53.09434182630976,4097.993889376388,953.5375280740836,3144.4563613023042
LHR,BIO,regional,0.1742574939659883,183.57471428571426,31.98926966695088,109.34612558645689,17.825597269971652,91.52052831648524,3497.902698421447,570.2278380435865,2927.67486037786
BIO,LHR,regional,0.1767918228746234,180.94314285714285,31.989268062377676,109.3461255864569,17.913165695584286,91.43295989087262,3497.9025229675844,573.0290592818338,2924.8734636857507
VLC,SVQ,regional,0.1469826972824773,326.3324285714286,47.96522056216993,68.6816447500067,10.615521479068931,58.066123270937766,3294.330239006672,509.1758291259937,2785.154409880678
SVQ,VLC,regional,0.1471296134287137,326.0065714285714,47.96522082950605,68.6816447500067,11.20112214155083,57.48052260845587,3294.330257367756,537.2642970577552,2757.065960310001
FCO,VLC,regional,0.2252496589997387,195.6777142857143,44.07633841670545,83.65722198446997,24.81687316909752,58.84034881537245,3687.304027188949,1093.8369002455997,2593.4671269433497
VLC,FCO,regional,0.2241089904966161,196.67371428571428,44.07634756579133,83.65722198446997,24.95905261178826,58.69816937268171,3687.304792576058,1100.1038778300513,2587.2009147460067
BRU,MAD,regional,0.2223997581610315,624.8788571428571,138.97290670851316,121.44561666270691,103.00512182729923,18.440494835407677,16877.65035462422,14314.92118620429,2562.72916841993
TFN,SVQ,regional,0.05793014276288232,377.4918571428571,21.86815717611129,86.69371459936713,8.682006454003316,78.01170814536381,1895.8317770398942,189.85948174015715,1705.9722952997372
SVQ,FCO,regional,0.3538874478648416,161.97171428571428,57.319756594864735,81.33385661164819,51.92936923880477,29.40448737284342,4662.036863901304,2976.5788048931454,1685.4580590081584
FCO,SVQ,regional,0.3537130578571899,162.05157142857144,57.31975686056283,81.33385661164819,51.98309187382257,29.350764737825614,4662.036885511555,2979.6581870678096,1682.3786984437454
MAD,AGP,regional,0.2435886418908436,454.89985714285723,110.80843839776736,57.06744361403899,67.45115918150552,-10.383715567466524,6323.554310224302,7474.157617021854,-1150.6033067975522
