origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
LHR,MAD,regional,0.3485479513606811,1136.9781428571428,396.2914024347289,137.0827258118471,29.97936578602984,107.10336002581725,54324.7056615523,11880.564911449495,42444.1407501028
MAD,LHR,regional,0.3358512573385737,1132.747714285714,380.4347440902525,141.94489605840718,39.900668210258985,102.0442278481482,54000.77020689762,15179.60049959995,38821.169707297675
EZE,MAD,transatlantic,0.1632062057379704,550.6405714285714,89.86795838824501,505.2736070907173,128.61775957479279,376.6558475159245,45407.90749670704,11558.61546545678,33849.29203125026
MAD,EZE,transatlantic,0.1601767959222747,553.548,88.66554502918332,483.198002611482,126.23032556225996,356.96767704922206,42843.0142585598,11192.28061518903,31650.733643370768
MEX,MAD,transatlantic,0.1405848109460617,441.60585714285713,62.0830759391021,448.0052409163106,95.5674174239308,352.4378234923798,27813.543392923042,5933.119233233766,21880.424159689275
MAD,MEX,transatlantic,0.1405969523969436,440.9417142857143,61.99506121325527,441.2554430432742,95.5756709817503,345.6797720615239,27355.658202149858,5925.219573011555,21430.438629138305
MAD,ORY,regional,0.2262941758460898,1165.2614285714285,263.69187462380864,98.01849734456039,27.567205470112356,70.45129187444803,25846.681312595938,7269.248088553639,18577.4332240423
ORY,MAD,regional,0.2186587450301052,1118.7234285714287,244.61866092720516,94.71000099644337,26.63705098821292,68.07295000823045,23167.83362016424,6515.919743786331,16651.913876377912
FCO,MAD,regional,0.1406816373681744,1131.3857142857144,159.16519478067585,97.57996787138613,18.85665506320369,78.72331280818244,15531.334592941264,3001.3231760468325,12530.011416894433
MAD,FCO,regional,0.14061046819392,1141.0687142857141,160.4462061571486,95.03889982083679,18.84711589496015,76.19178392587663,15248.630913602572,3023.9482423504487,12224.682671252123
BIO,MAD,regional,0.1843448086218664,849.1658571428571,156.53931742322314,79.29015147185783,12.804736897719257,66.48541457413857,12412.026189788596,2004.4447737529324,10407.581416035664
MAD,BIO,regional,0.1843452984894857,849.3355714285715,156.5710194327379,79.06672900371547,12.804770029560267,66.26195897415519,12379.558363323755,2004.8558971300204,10374.702466193734
AGP,BCN,regional,0.2585854786635597,912.1758571428572,235.87543064462858,65.87377212272263,27.229726149988807,38.64404597273382,15538.004367633328,6422.823381963914,9115.180985669414
