origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
JFK,MAD,transatlantic,0.3540292729339604,711.3587142857143,251.8418084138083,320.9464165346327,112.76676504342593,208.17965149120676,80827.72594401329,28399.38603751141,52428.339906501875
MAD,JFK,transatlantic,0.3580723644379903,703.3265714285715,251.84180840349364,320.8183708867035,114.05457968779191,206.7637911989116,80795.47869317015,28723.71160527389,52071.76708789626
MAD,GRU,transatlantic,0.5378443379979975,208.9757142857143,112.39640470765868,460.7675545384444,225.79892322361022,234.9686313148342,51788.61653606119,25378.987157194442,26409.629378866746
MAD,LHR,regional,0.1743876844148585,1132.747714285714,197.5372509205094,141.94489605840718,17.509831143836337,124.43506491457084,28039.404549575203,3458.8439082357486,24580.560641339456
GRU,MAD,transatlantic,0.5357589219157026,209.78914285714288,112.3964050067622,442.80227412916776,224.92342281715787,217.87885131200989,49769.38374093728,25280.58412646449,24488.799614472784
LHR,MAD,regional,0.1737388288151291,1136.9781428571428,197.5372509284005,137.0827258118471,17.444681000552723,119.63804481129438,27078.944806643965,3445.9743281720844,23632.97047847188
BCN,MAD,regional,0.07339415118598824,3596.4700000000003,263.95986291587116,74.33915639906051,3.313476769101447,71.02567962995907,19622.55353237752,874.6248737469416,18747.92865863058
MAD,BCN,regional,0.07342349399677349,3595.032714285714,263.9598629155614,73.67378499776966,3.3148017232394875,70.35898327453017,19446.922188481825,874.9746084585619,18571.947580023265
BIO,MAD,regional,0.116031232516324,849.1658571428571,98.52976101506643,79.29015147185783,12.034530103704471,67.25562136815336,7812.439675370569,1185.7593750466242,6626.680300323945
MAD,BIO,regional,0.1160080471486375,849.3355714285715,98.52976101530069,79.06672900371547,12.032127792297242,67.03460121141822,7790.425912997629,1185.5226758806048,6604.903237117023
MAD,VLC,regional,0.1313746687311227,773.2588571428571,101.58662620054938,72.54035604379727,12.335847236788531,60.20450880700874,7369.130033875997,1253.1571021107163,6115.97293176528
VLC,MAD,regional,0.1319958241831131,769.62,101.5866262078075,69.46966420185969,12.394171842835798,57.07549235902389,7057.1888100562255,1259.0821021534928,5798.1067079027325
