origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
JFK,MAD,transatlantic,0.3481286045795187,711.3587142857143,247.64431655976628,320.9464165346327,112.00535136633744,208.94106516829527,79480.55597502519,27737.488690153117,51743.06728487207
MAD,JFK,transatlantic,0.3521043091765451,703.3265714285715,247.64431655836518,320.8183708867035,113.28447653694371,207.5338943497598,79448.84619760582,28054.25676866358,51394.58942894223
MAD,GRU,transatlantic,0.5424232804370425,208.9757142857143,113.35329247453127,460.7675545384444,225.7989273137522,234.96862722469223,52229.51937237083,25595.051848231178,26634.46752413965
MAD,LHR,regional,0.1843375873626763,1132.747714285714,208.8079807420147,141.94489605840718,17.535410932969977,124.4094851254372,29639.227122591165,3661.5337483949093,25977.693374196257
LHR,MAD,regional,0.1836517105063122,1136.9781428571428,208.80798074400448,137.0827258118471,17.470165714671232,119.61256009717587,28623.967171655815,3647.910026143638,24976.05714551218
GRU,MAD,transatlantic,0.5403201091773058,209.78914285714288,113.35329257278484,442.80227412916776,224.92342299330465,217.8788511358631,50193.09573125803,25495.810573032304,24697.285158225724
BCN,MAD,regional,0.08022228097368059,3596.4700000000003,288.51702685341303,74.33915639906051,3.318317784550855,71.02083861450966,21448.112383047814,957.391181353417,20490.721201694396
MAD,BCN,regional,0.08025435365486205,3595.032714285714,288.51702685308436,73.67378499776966,3.3196444445343305,70.35414055323533,21256.141404569873,957.7739453464037,20298.367459223467
BIO,MAD,regional,0.1057586953139209,849.1658571428571,89.80667315655592,79.29015147185783,12.052113741304815,67.238037730553,7120.784717766946,1082.360239610998,6038.424478155948
MAD,BIO,regional,0.1057375626049687,849.3355714285715,89.80667315655543,79.06672900371547,12.04970548104772,67.01702352266774,7100.719889194616,1082.1439617692072,6018.575927425409
MAD,VLC,regional,0.09856145816529004,773.2588571428571,76.2135204992257,72.54035604379727,10.797882123420973,61.7424739203763,5528.555912365074,822.944610561567,4705.611301803507
VLC,MAD,regional,0.0990274687502516,769.62,76.21352049956865,69.46966420185969,10.848935821526773,58.62072838033291,5294.527676746583,826.8355926324354,4467.692084114148
