origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
JFK,MAD,transatlantic,0.3516156587789895,711.3587142857143,250.1248629517464,320.9464165346327,112.48947592955624,208.45694060507645,80276.67845057911,28136.41475039403,52140.26370018509
MAD,JFK,transatlantic,0.3556311862761879,703.3265714285715,250.12486293670688,320.8183708867035,113.77415299872449,207.04421788797902,80244.65104561432,28457.74442454588,51786.906621068425
MAD,GRU,transatlantic,0.539438547309434,208.9757142857143,112.72955573723705,460.7675545384444,225.79892667920507,234.96862785923935,51942.121721251984,25454.21269049175,26487.90903076023
MAD,LHR,regional,0.1771023143616169,1132.747714285714,200.61224178783152,141.94489605840718,17.954038452083793,123.99085760632339,28475.883808617797,3601.7999030174583,24874.083905600335
GRU,MAD,transatlantic,0.5373469513640234,209.78914285714288,112.72955634355732,442.80227412916776,224.92342238763152,217.87885174153624,49916.90391049933,25355.51761703225,24561.38629346708
LHR,MAD,regional,0.1764433582668486,1136.9781428571428,200.612241801719,137.0827258118471,17.887243506332187,119.19548230551491,27500.472937405015,3588.4000194585406,23912.072917946476
BCN,MAD,regional,0.07552099678505145,3596.4700000000003,271.608999307534,74.33915639906051,3.397536612717585,70.94161978634293,20191.18387891509,922.8015194909319,19268.38235942416
MAD,BCN,regional,0.07555118990376779,3595.032714285714,271.60899930725776,73.67378499776966,3.3988907597848885,70.27489423798477,20010.463018422277,923.1693180198586,19087.293700402417
BIO,MAD,regional,0.117985636712886,849.1658571428571,100.1893743298436,79.29015147185783,12.339835675109848,66.95031579674797,7944.030666483964,1236.320415622339,6707.7102508616235
MAD,BIO,regional,0.1179620608162948,849.3355714285715,100.18937433029964,79.06672900371547,12.337370751733825,66.72935825198164,7921.646109225609,1236.0734564971506,6685.572652728458
MAD,VLC,regional,0.1163058237855002,773.2588571428571,89.9345083794344,72.54035604379727,11.737175042796787,60.80318100100049,6523.881258468041,1055.577067237296,5468.304191230745
VLC,MAD,regional,0.116855731902567,769.62,89.93450838685361,69.46966420185969,11.792669901362109,57.676994300497576,6247.720097794054,1060.5679701474467,5187.152127646607
