origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
BCN,MAD,regional,0.2266206426266479,3596.4700000000003,815.0343425874605,74.33915639906051,16.624484540756747,57.71467185830377,60588.96546421469,13549.525828531076,47039.439635683615
MAD,BCN,regional,0.2267112450598072,3595.032714285714,815.0343426864523,73.67378499776966,16.63113095824807,57.04265403952159,60046.66492888021,13554.942888688025,46491.72204019218
BCN,PMI,regional,0.1510498008172177,1972.4500000000003,297.9381796219211,66.60889770423279,8.722213950975156,57.88668375325763,19845.333728621878,2598.6805468264624,17246.653181795413
PMI,BCN,regional,0.151080088723069,1972.0545714285713,297.93817961816234,66.60889770423279,8.72396290166255,57.88493480257024,19845.33372837151,2599.2016259777215,17246.13210239379
BCN,MXP,regional,0.1993802542772704,852.9751428571428,170.0664008750482,87.92928990629579,17.4560615767907,70.47322832950509,14953.81786586243,2968.689565818013,11985.128300044416
MXP,BCN,regional,0.2020293828351581,841.7904285714285,170.06640076082894,87.92928990629579,17.687997056963166,70.24129284933262,14953.817855819212,3008.1339961458607,11945.68385967335
BIO,BCN,regional,0.2373957715235701,794.2462857142857,188.55070977687276,76.59245546810087,17.763157769956543,58.82929769814432,14441.561842063938,3349.2560054038786,11092.30583666006
BCN,BIO,regional,0.2374191729904145,794.168,188.5507097754515,76.59245546810087,17.764908783947817,58.82754668415305,14441.561841955081,3349.586160309514,11091.975681645567
BCN,IBZ,regional,0.1735349945782391,1092.0445714285713,189.50794878205255,66.84935413904972,10.915164941501967,55.93418919754775,12668.483980296327,2068.5105186818105,10599.973461614516
IBZ,BCN,regional,0.1735527487264602,1091.9328571428573,189.5079487818801,66.84935413904972,10.916281653121532,55.93307248592819,12668.483980284798,2068.7221444083325,10599.761835876467
BCN,MAH,regional,0.1687821053071907,981.8344285714287,165.71608191736829,69.57228582203227,10.140827717594352,59.43145810443792,11529.24661646246,1680.4982367587845,9848.748379703677
MAH,BCN,regional,0.169773150812836,976.1029999999998,165.71608182786164,69.57228582203227,10.20037208061392,59.37191374141835,11529.246610235277,1690.3656943856518,9838.880915849628
