i,j,o,d,value
i1          ,i2          ,i8          ,i4          ,0.000000002201443
i1          ,i2          ,i8          ,i5          ,0.000000002803337
i1          ,i2          ,i8          ,i6          ,0.000012250136601
i1          ,i2          ,i8          ,i7          ,0.000045987289236
i1          ,i2          ,i8          ,i8          ,0.000000000000000
i1          ,i3          ,i1          ,i1          ,0.000000000000000
i1          ,i3          ,i1          ,i2          ,0.000000000497669
i1          ,i3          ,i1          ,i3          ,0.000000123306974
i1          ,i3          ,i1          ,i4          ,0.000000006475837
i1          ,i3          ,i1          ,i5          ,0.000000009068462
i1          ,i3          ,i1          ,i6          ,0.000000004943612
i1          ,i3          ,i1          ,i7          ,0.000000007523968
i1          ,i3          ,i1          ,i8          ,0.000000006275204
i1          ,i3          ,i2          ,i1          ,-0.000000004750454
i1          ,i3          ,i2          ,i2          ,0.000000000000000
i1          ,i3          ,i2          ,i3          ,0.000000001383090
i1          ,i3          ,i2          ,i4          ,-0.000000005326298
i1          ,i3          ,i2          ,i5          ,0.000000000978728
i1          ,i3          ,i2          ,i6          ,-0.000000003716512
i1          ,i3          ,i2          ,i7          ,0.000000092011158
i1          ,i3          ,i2          ,i8          ,0.000000000465190
i1          ,i3          ,i3          ,i1          ,-0.000000002071960
i1          ,i3          ,i3          ,i2          ,-0.000000000810979
i1          ,i3          ,i3          ,i3          ,0.000000000000000
i1          ,i3          ,i3          ,i4          ,0.000000000000000
i1          ,i3          ,i3          ,i5          ,0.000000000109308
i1          ,i3          ,i3          ,i6          ,0.000000000000000
i1          ,i3          ,i3          ,i7          ,0.000000000000000
i1          ,i3          ,i3          ,i8          ,0.000000000157603
i1          ,i3          ,i4          ,i1          ,-0.000000000625867
i1          ,i3          ,i4          ,i2          ,-0.000000005395087
i1          ,i3          ,i4          ,i3          ,0.000000006708076
i1          ,i3          ,i4          ,i4          ,0.000000000000000
i1          ,i3          ,i4          ,i5          ,0.000000002676244
i1          ,i3          ,i4          ,i6          ,0.000000002974237
i1          ,i3          ,i4          ,i7          ,0.000000156502126
i1          ,i3          ,i4          ,i8          ,0.000000002839631
i1          ,i3          ,i5          ,i1          ,-0.000000001020497
i1          ,i3          ,i5          ,i2          ,0.000000001541480
i1          ,i3          ,i5          ,i3          ,0.000000005605364
i1          ,i3          ,i5          ,i4          ,0.000000002295172
i1          ,i3          ,i5          ,i5          ,0.000000000000000
i1          ,i3          ,i5          ,i6          ,0.000000069676681
i1          ,i3          ,i5          ,i7          ,0.000000000000000
i1          ,i3          ,i5          ,i8          ,0.000000002576300
i1          ,i3          ,i6          ,i1          ,-0.000000002231815
i1          ,i3          ,i6          ,i2          ,0.000000006549152
i1          ,i3          ,i6          ,i3          ,0.000000124107566
i1          ,i3          ,i6          ,i4          ,0.000000020987992
i1          ,i3          ,i6          ,i5          ,0.000000079494257
i1          ,i3          ,i6          ,i6          ,0.000000000000000
i1          ,i3          ,i6          ,i7          ,0.000000001703572
i1          ,i3          ,i6          ,i8          ,0.000003138903024
i1          ,i3          ,i7          ,i1          ,-0.000000000753354
i1          ,i3          ,i7          ,i2          ,0.000000029066124
i1          ,i3          ,i7          ,i3          ,0.000141336147241
i1          ,i3          ,i7          ,i4          ,0.000000082925661
i1          ,i3          ,i7          ,i5          ,0.000000000000000
i1          ,i3          ,i7          ,i6          ,0.000000001683767
i1          ,i3          ,i7          ,i7          ,0.000000000000000
i1          ,i3          ,i7          ,i8          ,0.000172864522883
i1          ,i3          ,i8          ,i1          ,-0.000000001188326
i1          ,i3          ,i8          ,i2          ,0.000000000217366
i1          ,i3          ,i8          ,i3          ,0.000000004223669
i1          ,i3          ,i8          ,i4          ,0.000000001449421
i1          ,i3          ,i8          ,i5          ,0.000000002037085
i1          ,i3          ,i8          ,i6          ,0.000008023919655
i1          ,i3          ,i8          ,i7          ,0.000041359475833
i1          ,i3          ,i8          ,i8          ,0.000000000000000
i1          ,i4          ,i1          ,i1          ,0.000000000000000
i1          ,i4          ,i1          ,i2          ,0.000000018032791
i1          ,i4          ,i1          ,i3          ,0.000000018589922
i1          ,i4          ,i1          ,i4          ,0.000000111597030
i1          ,i4          ,i1          ,i5          ,0.000000013857781
i1          ,i4          ,i1          ,i6          ,0.000000022305014
i1          ,i4          ,i1          ,i7          ,0.000000014397805
i1          ,i4          ,i1          ,i8          ,0.000000011652401
i1          ,i4          ,i2          ,i1          ,-0.000000004205653
i1          ,i4          ,i2          ,i2          ,0.000000000000000
i1          ,i4          ,i2          ,i3          ,0.000000000800198
i1          ,i4          ,i2          ,i4          ,-0.000000004382863
i1          ,i4          ,i2          ,i5          ,0.000000003011966
i1          ,i4          ,i2          ,i6          ,-0.000000002372923
i1          ,i4          ,i2          ,i7          ,0.000000156542510
i1          ,i4          ,i2          ,i8          ,0.000000002705381
i1          ,i4          ,i3          ,i1          ,-0.000000001076463
i1          ,i4          ,i3          ,i2          ,0.000000000827331
i1          ,i4          ,i3          ,i3          ,0.000000000000000
i1          ,i4          ,i3          ,i4          ,0.000000012179616
i1          ,i4          ,i3          ,i5          ,0.000000002755438
i1          ,i4          ,i3          ,i6          ,0.000000178283718
i1          ,i4          ,i3          ,i7          ,0.000076913115957
i1          ,i4          ,i3          ,i8          ,0.000000003160017
i1          ,i4          ,i4          ,i1          ,-0.000000000603390
i1          ,i4          ,i4          ,i2          ,0.000000003893884
i1          ,i4          ,i4          ,i3          ,0.000000002065107
i1          ,i4          ,i4          ,i4          ,0.000000000000000
i1          ,i4          ,i4          ,i5          ,0.000000001885180
i1          ,i4          ,i4          ,i6          ,0.000000001817848
i1          ,i4          ,i4          ,i7          ,0.000000000109749
i1          ,i4          ,i4          ,i8          ,0.000000001753525
i1          ,i4          ,i5          ,i1          ,-0.000000000321590
i1          ,i4          ,i5          ,i2          ,0.000000002612580
i1          ,i4          ,i5          ,i3          ,0.000000002516216
i1          ,i4          ,i5          ,i4          ,0.000000011644221
i1          ,i4          ,i5          ,i5          ,0.000000000000000
i1          ,i4          ,i5          ,i6          ,0.000000102723260
i1          ,i4          ,i5          ,i7          ,0.000000000000000
i1          ,i4          ,i5          ,i8          ,0.000000003452184
i1          ,i4          ,i6          ,i1          ,-0.000000001328311
i1          ,i4          ,i6          ,i2          ,0.000000006636502
i1          ,i4          ,i6          ,i3          ,0.000000041609302
i1          ,i4          ,i6          ,i4          ,0.000000058485342
i1          ,i4          ,i6          ,i5          ,0.000000089050028
i1          ,i4          ,i6          ,i6          ,0.000000000000000
i1          ,i4          ,i6          ,i7          ,0.000000002830209
i1          ,i4          ,i6          ,i8          ,0.000003184405338
i1          ,i4          ,i7          ,i1          ,-0.000000000226044
i1          ,i4          ,i7          ,i2          ,0.000000023508127
i1          ,i4          ,i7          ,i3          ,0.000065717655528
i1          ,i4          ,i7          ,i4          ,0.000000227383533
i1          ,i4          ,i7          ,i5          ,0.000000000000000
i1          ,i4          ,i7          ,i6          ,0.000000002810575
i1          ,i4          ,i7          ,i7          ,0.000000000000000
i1          ,i4          ,i7          ,i8          ,0.000202232542677
i1          ,i4          ,i8          ,i1          ,0.000000000000000
i1          ,i4          ,i8          ,i2          ,0.000000002163412
i1          ,i4          ,i8          ,i3          ,0.000000002917196
i1          ,i4          ,i8          ,i4          ,0.000000013850439
i1          ,i4          ,i8          ,i5          ,0.000000003513745
i1          ,i4          ,i8          ,i6          ,0.000014057683316
i1          ,i4          ,i8          ,i7          ,0.000062784767162
i1          ,i4          ,i8          ,i8          ,0.000000000000000
i1          ,i5          ,i1          ,i1          ,0.000000000000000
i1          ,i5          ,i1          ,i2          ,0.000000004716378
i1          ,i5          ,i1          ,i3          ,0.000000006101256
i1          ,i5          ,i1          ,i4          ,0.000000009809384
i1          ,i5          ,i1          ,i5          ,0.000002432572639
i1          ,i5          ,i1          ,i6          ,0.000000006767883
i1          ,i5          ,i1          ,i7          ,0.000000011393533
i1          ,i5          ,i1          ,i8          ,0.000000008339698
i1          ,i5          ,i2          ,i1          ,-0.000000004649310
i1          ,i5          ,i2          ,i2          ,0.000000000000000
i1          ,i5          ,i2          ,i3          ,-0.000000001021809
i1          ,i5          ,i2          ,i4          ,-0.000000005145626
i1          ,i5          ,i2          ,i5          ,0.000000007774694
i1          ,i5          ,i2          ,i6          ,-0.000000003050049
i1          ,i5          ,i2          ,i7          ,0.000000107815624
i1          ,i5          ,i2          ,i8          ,0.000000001060524
i1          ,i5          ,i3          ,i1          ,-0.000000002202867
i1          ,i5          ,i3          ,i2          ,-0.000000001051894
i1          ,i5          ,i3          ,i3          ,0.000000000000000
i1          ,i5          ,i3          ,i4          ,0.000000001485117
i1          ,i5          ,i3          ,i5          ,0.000000007180976
i1          ,i5          ,i3          ,i6          ,0.000000115959511
i1          ,i5          ,i3          ,i7          ,0.000038687612456
i1          ,i5          ,i3          ,i8          ,0.000000002511502
i1          ,i5          ,i4          ,i1          ,-0.000000000195989
i1          ,i5          ,i4          ,i2          ,-0.000000005300779
i1          ,i5          ,i4          ,i3          ,0.000000001401235
i1          ,i5          ,i4          ,i4          ,0.000000000000000
i1          ,i5          ,i4          ,i5          ,0.000000009257820
i1          ,i5          ,i4          ,i6          ,0.000000004179791
i1          ,i5          ,i4          ,i7          ,0.000000172089621
i1          ,i5          ,i4          ,i8          ,0.000000003803044
i1          ,i5          ,i5          ,i1          ,-0.000000001072347
i1          ,i5          ,i5          ,i2          ,0.000000000719030
i1          ,i5          ,i5          ,i3          ,0.000000000809235
i1          ,i5          ,i5          ,i4          ,0.000000001086624
i1          ,i5          ,i5          ,i5          ,0.000000000000000
i1          ,i5          ,i5          ,i6          ,0.000000000244295
i1          ,i5          ,i5          ,i7          ,0.000000000000000
i1          ,i5          ,i5          ,i8          ,0.000000001046239
i1          ,i5          ,i6          ,i1          ,-0.000000002055325
i1          ,i5          ,i6          ,i2          ,0.000000006824929
i1          ,i5          ,i6          ,i3          ,0.000000048647842
i1          ,i5          ,i6          ,i4          ,0.000000024179172
i1          ,i5          ,i6          ,i5          ,0.000000229244195
i1          ,i5          ,i6          ,i6          ,0.000000000000000
i1          ,i5          ,i6          ,i7          ,0.000000002997441
i1          ,i5          ,i6          ,i8          ,0.000003331675427
i1          ,i5          ,i7          ,i1          ,-0.000000000188957
i1          ,i5          ,i7          ,i2          ,0.000000029992019
i1          ,i5          ,i7          ,i3          ,0.000059147490199
i1          ,i5          ,i7          ,i4          ,0.000000097724667
i1          ,i5          ,i7          ,i5          ,0.000000000000000
i1          ,i5          ,i7          ,i6          ,0.000000002976861
i1          ,i5          ,i7          ,i7          ,0.000000000000000
i1          ,i5          ,i7          ,i8          ,0.000179091209064
i1          ,i5          ,i8          ,i1          ,-0.000000000730908
i1          ,i5          ,i8          ,i2          ,0.000000000698769
i1          ,i5          ,i8          ,i3          ,0.000000002300987
i1          ,i5          ,i8          ,i4          ,0.000000003134518
i1          ,i5          ,i8          ,i5          ,0.000000007706468
i1          ,i5          ,i8          ,i6          ,0.000008237342586
i1          ,i5          ,i8          ,i7          ,0.000050343342354
i1          ,i5          ,i8          ,i8          ,0.000000000000000
i1          ,i6          ,i1          ,i1          ,0.000000000000000
i1          ,i6          ,i1          ,i2          ,-0.000000001704312
i1          ,i6          ,i1          ,i3          ,0.000000001629430
i1          ,i6          ,i1          ,i4          ,0.000000000155288
i1          ,i6          ,i1          ,i5          ,-0.000000000513291
i1          ,i6          ,i1          ,i6          ,0.000000047833548
i1          ,i6          ,i1          ,i7          ,0.000000004777413
i1          ,i6          ,i1          ,i8          ,0.000000000349101
i1          ,i6          ,i2          ,i1          ,-0.000000004697568
i1          ,i6          ,i2          ,i2          ,0.000000000000000
i1          ,i6          ,i2          ,i3          ,-0.000000001749139
i1          ,i6          ,i2          ,i4          ,-0.000000005695290
i1          ,i6          ,i2          ,i5          ,-0.000000001674024
i1          ,i6          ,i2          ,i6          ,0.000000000647504
i1          ,i6          ,i2          ,i7          ,0.000000143445586
i1          ,i6          ,i2          ,i8          ,-0.000000001102225
i1          ,i6          ,i3          ,i1          ,-0.000000002736463
i1          ,i6          ,i3          ,i2          ,-0.000000001767736
i1          ,i6          ,i3          ,i3          ,0.000000000000000
i1          ,i6          ,i3          ,i4          ,-0.000000002277061
i1          ,i6          ,i3          ,i5          ,-0.000000001855395
i1          ,i6          ,i3          ,i6          ,0.000000257834782
i1          ,i6          ,i3          ,i7          ,0.000071331182741
i1          ,i6          ,i3          ,i8          ,-0.000000001491078
i1          ,i6          ,i4          ,i1          ,-0.000000002427636
i1          ,i6          ,i4          ,i2          ,-0.000000005784160
i1          ,i6          ,i4          ,i3          ,-0.000000002627843
i1          ,i6          ,i4          ,i4          ,0.000000000000000
i1          ,i6          ,i4          ,i5          ,-0.000000001989167
i1          ,i6          ,i4          ,i6          ,0.000000006211215
i1          ,i6          ,i4          ,i7          ,0.000000179492788
i1          ,i6          ,i4          ,i8          ,-0.000000001835117
i1          ,i6          ,i5          ,i1          ,-0.000000002814497
i1          ,i6          ,i5          ,i2          ,-0.000000001687183
i1          ,i6          ,i5          ,i3          ,-0.000000001834864
i1          ,i6          ,i5          ,i4          ,-0.000000001745883
i1          ,i6          ,i5          ,i5          ,0.000000000000000
i1          ,i6          ,i5          ,i6          ,0.000000169076420
i1          ,i6          ,i5          ,i7          ,0.000000000000000
i1          ,i6          ,i5          ,i8          ,-0.000000001673249
i1          ,i6          ,i6          ,i1          ,-0.000000002928773
i1          ,i6          ,i6          ,i2          ,-0.000000001624806
i1          ,i6          ,i6          ,i3          ,-0.000000000337492
i1          ,i6          ,i6          ,i4          ,-0.000000000471695
i1          ,i6          ,i6          ,i5          ,-0.000000000163171
i1          ,i6          ,i6          ,i6          ,0.000000000000000
i1          ,i6          ,i6          ,i7          ,-0.000000001470242
i1          ,i6          ,i6          ,i8          ,0.000000000000000
i1          ,i6          ,i7          ,i1          ,-0.000000003487633
i1          ,i6          ,i7          ,i2          ,0.000000004150764
i1          ,i6          ,i7          ,i3          ,0.000025602564900
i1          ,i6          ,i7          ,i4          ,0.000000031954755
i1          ,i6          ,i7          ,i5          ,0.000000000000000
i1          ,i6          ,i7          ,i6          ,-0.000000001791987
i1          ,i6          ,i7          ,i7          ,0.000000000000000
i1          ,i6          ,i7          ,i8          ,0.000080486495307
i1          ,i6          ,i8          ,i1          ,-0.000000002422162
i1          ,i6          ,i8          ,i2          ,-0.000000001480815
i1          ,i6          ,i8          ,i3          ,-0.000000001617771
i1          ,i6          ,i8          ,i4          ,-0.000000001690543
i1          ,i6          ,i8          ,i5          ,-0.000000001724694
i1          ,i6          ,i8          ,i6          ,0.000016147246460
i1          ,i6          ,i8          ,i7          ,0.000055948336948
i1          ,i6          ,i8          ,i8          ,0.000000000000000
i1          ,i7          ,i1          ,i1          ,0.000000000000000
i1          ,i7          ,i1          ,i2          ,-0.000000003854117
i1          ,i7          ,i1          ,i3          ,0.000000000000000
i1          ,i7          ,i1          ,i4          ,-0.000000000434144
i1          ,i7          ,i1          ,i5          ,-0.000000000854299
i1          ,i7          ,i1          ,i6          ,0.000000003405822
i1          ,i7          ,i1          ,i7          ,0.000000011252460
i1          ,i7          ,i1          ,i8          ,-0.000000000400884
i1          ,i7          ,i2          ,i1          ,-0.000000005079395
i1          ,i7          ,i2          ,i2          ,0.000000000000000
i1          ,i7          ,i2          ,i3          ,-0.000000002517559
i1          ,i7          ,i2          ,i4          ,-0.000000005706637
i1          ,i7          ,i2          ,i5          ,-0.000000001964335
i1          ,i7          ,i2          ,i6          ,-0.000000003252406
i1          ,i7          ,i2          ,i7          ,0.000000235577173
i1          ,i7          ,i2          ,i8          ,-0.000000001701940
i1          ,i7          ,i3          ,i1          ,-0.000000003219125
i1          ,i7          ,i3          ,i2          ,-0.000000002542568
i1          ,i7          ,i3          ,i3          ,0.000000000000000
i1          ,i7          ,i3          ,i4          ,-0.000000002467432
i1          ,i7          ,i3          ,i5          ,-0.000000002098282
i1          ,i7          ,i3          ,i6          ,0.000000109681346
i1          ,i7          ,i3          ,i7          ,0.000083874956232
i1          ,i7          ,i3          ,i8          ,-0.000000001794606
i1          ,i7          ,i4          ,i1          ,-0.000000002656026
i1          ,i7          ,i4          ,i2          ,-0.000000005792814
i1          ,i7          ,i4          ,i3          ,-0.000000002785952
i1          ,i7          ,i4          ,i4          ,0.000000000000000
i1          ,i7          ,i4          ,i5          ,-0.000000002087641
i1          ,i7          ,i4          ,i6          ,0.000000001224741
i1          ,i7          ,i4          ,i7          ,0.000000265500479
i1          ,i7          ,i4          ,i8          ,-0.000000001988461
i1          ,i7          ,i5          ,i1          ,-0.000000002944857
i1          ,i7          ,i5          ,i2          ,-0.000000001970774
i1          ,i7          ,i5          ,i3          ,-0.000000002076542
i1          ,i7          ,i5          ,i4          ,-0.000000001853718
i1          ,i7          ,i5          ,i5          ,0.000000000000000
i1          ,i7          ,i5          ,i6          ,0.000000073316243
i1          ,i7          ,i5          ,i7          ,0.000000000000000
i1          ,i7          ,i5          ,i8          ,-0.000000001834347
i1          ,i7          ,i6          ,i1          ,-0.000000003661079
i1          ,i7          ,i6          ,i2          ,-0.000000001430578
i1          ,i7          ,i6          ,i3          ,0.000000010489228
i1          ,i7          ,i6          ,i4          ,0.000000006684050
i1          ,i7          ,i6          ,i5          ,0.000000026376721
i1          ,i7          ,i6          ,i6          ,0.000000000000000
i1          ,i7          ,i6          ,i7          ,-0.000000001872916
i1          ,i7          ,i6          ,i8          ,0.000001140637966
i1          ,i7          ,i7          ,i1          ,-0.000000003263358
i1          ,i7          ,i7          ,i2          ,-0.000000000713580
i1          ,i7          ,i7          ,i3          ,0.000000000000000
i1          ,i7          ,i7          ,i4          ,-0.000000000142210
i1          ,i7          ,i7          ,i5          ,0.000000000000000
i1          ,i7          ,i7          ,i6          ,-0.000000001583721
i1          ,i7          ,i7          ,i7          ,0.000000000000000
i1          ,i7          ,i7          ,i8          ,0.000000000000000
i1          ,i7          ,i8          ,i1          ,-0.000000002712945
i1          ,i7          ,i8          ,i2          ,-0.000000002009067
i1          ,i7          ,i8          ,i3          ,-0.000000001907542
i1          ,i7          ,i8          ,i4          ,-0.000000001856700
i1          ,i7          ,i8          ,i5          ,-0.000000001884454
i1          ,i7          ,i8          ,i6          ,0.000007714805401
i1          ,i7          ,i8          ,i7          ,0.000108342691336
i1          ,i7          ,i8          ,i8          ,0.000000000000000
i1          ,i8          ,i1          ,i1          ,0.000000000000000
i1          ,i8          ,i1          ,i2          ,0.000000002074832
i1          ,i8          ,i1          ,i3          ,0.000000006308240
i1          ,i8          ,i1          ,i4          ,0.000000008095304
i1          ,i8          ,i1          ,i5          ,0.000000011821979
i1          ,i8          ,i1          ,i6          ,0.000000006532660
i1          ,i8          ,i1          ,i7          ,0.000000009410005
i1          ,i8          ,i1          ,i8          ,0.000000024300256
i1          ,i8          ,i2          ,i1          ,-0.000000004659052
i1          ,i8          ,i2          ,i2          ,0.000000000000000
i1          ,i8          ,i2          ,i3          ,-0.000000000938355
i1          ,i8          ,i2          ,i4          ,-0.000000005246663
i1          ,i8          ,i2          ,i5          ,0.000000001684403
i1          ,i8          ,i2          ,i6          ,-0.000000003456215
i1          ,i8          ,i2          ,i7          ,0.000000102478807
i1          ,i8          ,i2          ,i8          ,0.000000003304024
i1          ,i8          ,i3          ,i1          ,-0.000000002226352
i1          ,i8          ,i3          ,i2          ,-0.000000001006201
i1          ,i8          ,i3          ,i3          ,0.000000000000000
i1          ,i8          ,i3          ,i4          ,0.000000000515930
i1          ,i8          ,i3          ,i5          ,0.000000001533677
i1          ,i8          ,i3          ,i6          ,0.000000112501561
i1          ,i8          ,i3          ,i7          ,0.000043870031228
i1          ,i8          ,i3          ,i8          ,0.000000004442387
i1          ,i8          ,i4          ,i1          ,-0.000000000340539
i1          ,i8          ,i4          ,i2          ,-0.000000005342536
i1          ,i8          ,i4          ,i3          ,0.000000001440275
i1          ,i8          ,i4          ,i4          ,0.000000000000000
i1          ,i8          ,i4          ,i5          ,0.000000003445811
i1          ,i8          ,i4          ,i6          ,0.000000003596853
i1          ,i8          ,i4          ,i7          ,0.000000167971123
i1          ,i8          ,i4          ,i8          ,0.000000009373039
i1          ,i8          ,i5          ,i1          ,-0.000000000804062
i1          ,i8          ,i5          ,i2          ,0.000000001848049
i1          ,i8          ,i5          ,i3          ,0.000000001967962
i1          ,i8          ,i5          ,i4          ,0.000000002891208
i1          ,i8          ,i5          ,i5          ,0.000000000000000
i1          ,i8          ,i5          ,i6          ,0.000000074251821
i1          ,i8          ,i5          ,i7          ,0.000000000000000
i1          ,i8          ,i5          ,i8          ,0.000000006274093
i1          ,i8          ,i6          ,i1          ,-0.000000002028798
i1          ,i8          ,i6          ,i2          ,0.000000006969554
i1          ,i8          ,i6          ,i3          ,0.000000050363838
i1          ,i8          ,i6          ,i4          ,0.000000022851167
i1          ,i8          ,i6          ,i5          ,0.000000086917624
i1          ,i8          ,i6          ,i6          ,0.000000000000000
