i,j,o,d,value
i1          ,i1          ,i1          ,i1          ,0.000000000000000
i1          ,i1          ,i1          ,i2          ,0.000000000000000
i1          ,i1          ,i1          ,i3          ,0.000000000000000
i1          ,i1          ,i1          ,i4          ,0.000000000000000
i1          ,i1          ,i1          ,i5          ,0.000000000000000
i1          ,i1          ,i1          ,i6          ,0.000000000000000
i1          ,i1          ,i1          ,i7          ,0.000000000000000
i1          ,i1          ,i1          ,i8          ,0.000000000000000
i1          ,i1          ,i2          ,i1          ,0.000000000000000
i1          ,i1          ,i2          ,i2          ,0.000000000000000
i1          ,i1          ,i2          ,i3          ,0.000000000000000
i1          ,i1          ,i2          ,i4          ,0.000000000000000
i1          ,i1          ,i2          ,i5          ,0.000000000000000
i1          ,i1          ,i2          ,i6          ,0.000000000000000
i1          ,i1          ,i2          ,i7          ,0.000000000000000
i1          ,i1          ,i2          ,i8          ,0.000000000000000
i1          ,i1          ,i3          ,i1          ,0.000000000000000
i1          ,i1          ,i3          ,i2          ,0.000000000000000
i1          ,i1          ,i3          ,i3          ,0.000000000000000
i1          ,i1          ,i3          ,i4          ,0.000000000000000
i1          ,i1          ,i3          ,i5          ,0.000000000000000
i1          ,i1          ,i3          ,i6          ,0.000000000000000
i1          ,i1          ,i3          ,i7          ,0.000000000000000
i1          ,i1          ,i3          ,i8          ,0.000000000000000
i1          ,i1          ,i4          ,i1          ,0.000000000000000
i1          ,i1          ,i4          ,i2          ,0.000000000000000
i1          ,i1          ,i4          ,i3          ,0.000000000000000
i1          ,i1          ,i4          ,i4          ,0.000000000000000
i1          ,i1          ,i4          ,i5          ,0.000000000000000
i1          ,i1          ,i4          ,i6          ,0.000000000000000
i1          ,i1          ,i4          ,i7          ,0.000000000000000
i1          ,i1          ,i4          ,i8          ,0.000000000000000
i1          ,i1          ,i5          ,i1          ,0.000000000000000
i1          ,i1          ,i5          ,i2          ,0.000000000000000
i1          ,i1          ,i5          ,i3          ,0.000000000000000
i1          ,i1          ,i5          ,i4          ,0.000000000000000
i1          ,i1          ,i5          ,i5          ,0.000000000000000
i1          ,i1          ,i5          ,i6          ,0.000000000000000
i1          ,i1          ,i5          ,i7          ,0.000000000000000
i1          ,i1          ,i5          ,i8          ,0.000000000000000
i1          ,i1          ,i6          ,i1          ,0.000000000000000
i1          ,i1          ,i6          ,i2          ,0.000000000000000
i1          ,i1          ,i6          ,i3          ,0.000000000000000
i1          ,i1          ,i6          ,i4          ,0.000000000000000
i1          ,i1          ,i6          ,i5          ,0.000000000000000
i1          ,i1          ,i6          ,i6          ,0.000000000000000
i1          ,i1          ,i6          ,i7          ,0.000000000000000
i1          ,i1          ,i6          ,i8          ,0.000000000000000
i1          ,i1          ,i7          ,i1          ,0.000000000000000
i1          ,i1          ,i7          ,i2          ,0.000000000000000
i1          ,i1          ,i7          ,i3          ,0.000000000000000
i1          ,i1          ,i7          ,i4          ,0.000000000000000
i1          ,i1          ,i7          ,i5          ,0.000000000000000
i1          ,i1          ,i7          ,i6          ,0.000000000000000
i1          ,i1          ,i7          ,i7          ,0.000000000000000
i1          ,i1          ,i7          ,i8          ,0.000000000000000
i1          ,i1          ,i8          ,i1          ,0.000000000000000
i1          ,i1          ,i8          ,i2          ,0.000000000000000
i1          ,i1          ,i8          ,i3          ,0.000000000000000
i1          ,i1          ,i8          ,i4          ,0.000000000000000
i1          ,i1          ,i8          ,i5          ,0.000000000000000
i1          ,i1          ,i8          ,i6          ,0.000000000000000
i1          ,i1          ,i8          ,i7          ,0.000000000000000
i1          ,i1          ,i8          ,i8          ,0.000000000000000
i1          ,i2          ,i1          ,i1          ,0.000000000000000
i1          ,i2          ,i1          ,i2          ,0.000022720068070
i1          ,i2          ,i1          ,i3          ,0.000000022258532
i1          ,i2          ,i1          ,i4          ,0.000000010620356
i1          ,i2          ,i1          ,i5          ,0.000000012395550
i1          ,i2          ,i1          ,i6          ,0.000000015144834
i1          ,i2          ,i1          ,i7          ,0.000000010739814
i1          ,i2          ,i1          ,i8          ,0.000000011518087
i1          ,i2          ,i2          ,i1          ,-0.000000002453105
i1          ,i2          ,i2          ,i2          ,0.000000000000000
i1          ,i2          ,i2          ,i3          ,-0.000000000499033
i1          ,i2          ,i2          ,i4          ,-0.000000003465159
i1          ,i2          ,i2          ,i5          ,0.000000000629765
i1          ,i2          ,i2          ,i6          ,-0.000000001140210
i1          ,i2          ,i2          ,i7          ,0.000000000146311
i1          ,i2          ,i2          ,i8          ,0.000000000180892
i1          ,i2          ,i3          ,i1          ,-0.000000001510950
i1          ,i2          ,i3          ,i2          ,0.000000002097586
i1          ,i2          ,i3          ,i3          ,0.000000000000000
i1          ,i2          ,i3          ,i4          ,0.000000000597312
i1          ,i2          ,i3          ,i5          ,0.000000001830075
i1          ,i2          ,i3          ,i6          ,0.000000132240278
i1          ,i2          ,i3          ,i7          ,0.000073378163914
i1          ,i2          ,i3          ,i8          ,0.000000002630542
i1          ,i2          ,i4          ,i1          ,0.000000000172694
i1          ,i2          ,i4          ,i2          ,-0.000000005022710
i1          ,i2          ,i4          ,i3          ,0.000000001950577
i1          ,i2          ,i4          ,i4          ,0.000000000000000
i1          ,i2          ,i4          ,i5          ,0.000000003137294
i1          ,i2          ,i4          ,i6          ,0.000000003979176
i1          ,i2          ,i4          ,i7          ,0.000000194882213
i1          ,i2          ,i4          ,i8          ,0.000000003556283
i1          ,i2          ,i5          ,i1          ,-0.000000000546035
i1          ,i2          ,i5          ,i2          ,0.000000007615425
i1          ,i2          ,i5          ,i3          ,0.000000002722013
i1          ,i2          ,i5          ,i4          ,0.000000002784522
i1          ,i2          ,i5          ,i5          ,0.000000000000000
i1          ,i2          ,i5          ,i6          ,0.000000081760213
i1          ,i2          ,i5          ,i7          ,0.000000000000000
i1          ,i2          ,i5          ,i8          ,0.000000003298261
i1          ,i2          ,i6          ,i1          ,-0.000000001207540
i1          ,i2          ,i6          ,i2          ,0.000000028594114
i1          ,i2          ,i6          ,i3          ,0.000000058162174
i1          ,i2          ,i6          ,i4          ,0.000000027691547
i1          ,i2          ,i6          ,i5          ,0.000000096255045
i1          ,i2          ,i6          ,i6          ,0.000000000000000
i1          ,i2          ,i6          ,i7          ,0.000000002428835
i1          ,i2          ,i6          ,i8          ,0.000003948283449
i1          ,i2          ,i7          ,i1          ,-0.000000000175176
i1          ,i2          ,i7          ,i2          ,0.000000106894265
i1          ,i2          ,i7          ,i3          ,0.000084330620307
i1          ,i2          ,i7          ,i4          ,0.000000096443686
i1          ,i2          ,i7          ,i5          ,0.000000000000000
i1          ,i2          ,i7          ,i6          ,0.000000002406681
i1          ,i2          ,i7          ,i7          ,0.000000000000000
i1          ,i2          ,i7          ,i8          ,0.000249371382123
i1          ,i2          ,i8          ,i1          ,-0.000000000332067
i1          ,i2          ,i8          ,i2          ,0.000000004318705
i1          ,i2          ,i8          ,i3          ,0.000000002738728
